,owner,name,full_name,clone_url,forks,watchers,open_issues,describtion_length,size,branches
192,tharma-thavam,online-shop-vue-application,tharma-thavam/online-shop-vue-application,https://github.com/tharma-thavam/online-shop-vue-application.git,0,0,0,0,159,2
193,feihoa,online-shop-vue,feihoa/online-shop-vue,https://github.com/feihoa/online-shop-vue.git,0,0,0,0,1345,2
194,baiimbet0v,online_shop-vue-,baiimbet0v/online_shop-vue-,https://github.com/baiimbet0v/online_shop-vue-.git,0,0,0,0,210,2
195,maidacencoanastasia,online-Vue-shop,maidacencoanastasia/online-Vue-shop,https://github.com/maidacencoanastasia/online-Vue-shop.git,0,0,0,0,567,2
196,MaxLisyanskiy,online-shop-vue,MaxLisyanskiy/online-shop-vue,https://github.com/MaxLisyanskiy/online-shop-vue.git,0,0,0,0,739,2
197,Streammer,vue_tutorial_online_shop,Streammer/vue_tutorial_online_shop,https://github.com/Streammer/vue_tutorial_online_shop.git,0,0,0,0,363,2
198,DaryaUdiryakova,online-shop-vue-src,DaryaUdiryakova/online-shop-vue-src,https://github.com/DaryaUdiryakova/online-shop-vue-src.git,0,0,0,0,1719,2
199,Pavliklaw7,vue-online-shop,Pavliklaw7/vue-online-shop,https://github.com/Pavliklaw7/vue-online-shop.git,0,0,0,0,278,2
200,TanyaKulikovskaya,Vue-Online-Shop,TanyaKulikovskaya/Vue-Online-Shop,https://github.com/TanyaKulikovskaya/Vue-Online-Shop.git,0,0,0,32,1991,2
201,YaRoslaVblablabla,Vue_online-shop,YaRoslaVblablabla/Vue_online-shop,https://github.com/YaRoslaVblablabla/Vue_online-shop.git,0,0,0,0,1417,2
202,haidi20,online-shop-dengan-vue,haidi20/online-shop-dengan-vue,https://github.com/haidi20/online-shop-dengan-vue.git,1,0,0,81,213,2
203,fishinsea2014,VUE_Simulated_Online_Shopping,fishinsea2014/VUE_Simulated_Online_Shopping,https://github.com/fishinsea2014/VUE_Simulated_Online_Shopping.git,0,0,0,0,2342,2
204,OlgaVolosevich,Online-Shop-Vue-App,OlgaVolosevich/Online-Shop-Vue-App,https://github.com/OlgaVolosevich/Online-Shop-Vue-App.git,0,0,19,0,2399,2
205,Xokage123,Vue_create_online-shop,Xokage123/Vue_create_online-shop,https://github.com/Xokage123/Vue_create_online-shop.git,0,0,0,0,3466,2
206,liwei3380,vue-online-shop-frontend,liwei3380/vue-online-shop-frontend,https://github.com/liwei3380/vue-online-shop-frontend.git,0,0,0,0,49,2
207,blackwaterstar,online_shop_vue,blackwaterstar/online_shop_vue,https://github.com/blackwaterstar/online_shop_vue.git,0,0,0,0,2936,2
208,diegotpereira,vue-shop-online-firebase,diegotpereira/vue-shop-online-firebase,https://github.com/diegotpereira/vue-shop-online-firebase.git,0,0,0,59,2267,2
209,DoubleWoodLin,vue-online-shop,DoubleWoodLin/vue-online-shop,https://github.com/DoubleWoodLin/vue-online-shop.git,1,0,0,0,2423,2
210,ZoyaVolkova,vuex-shop,ZoyaVolkova/vuex-shop,https://github.com/ZoyaVolkova/vuex-shop.git,3,3,1,45,2884,2
211,yalandr,way-rings,yalandr/way-rings,https://github.com/yalandr/way-rings.git,0,0,0,35,1662,2
212,duyuiqao,e-commerce,duyuiqao/e-commerce,https://github.com/duyuiqao/e-commerce.git,0,0,0,47,600,2
213,zide-pleasure,shop_sdk,zide-pleasure/shop_sdk,https://github.com/zide-pleasure/shop_sdk.git,0,0,1,26,1494,2
214,zadr50,maxon-eshop,zadr50/maxon-eshop,https://github.com/zadr50/maxon-eshop.git,0,0,14,38,1709,2
215,elena-dragunova,tea-shop,elena-dragunova/tea-shop,https://github.com/elena-dragunova/tea-shop.git,0,0,2,37,4814,2
216,ShenJet,piwubang,ShenJet/piwubang,https://github.com/ShenJet/piwubang.git,1,0,0,45,3296,2
217,W-Java,mall,W-Java/mall,https://github.com/W-Java/mall.git,0,1,0,38,259,2
218,giwatest,MxShop,giwatest/MxShop,https://github.com/giwatest/MxShop.git,1,0,0,29,16648,2
219,Jeddi212,Foodut,Jeddi212/Foodut,https://github.com/Jeddi212/Foodut.git,0,1,0,32,27782,2
220,axquired24,olshop-admin,axquired24/olshop-admin,https://github.com/axquired24/olshop-admin.git,0,0,0,42,416,2
221,Magazinediver,supermall,Magazinediver/supermall,https://github.com/Magazinediver/supermall.git,0,0,22,33,2259,2
222,mihazzz123,main-shop,mihazzz123/main-shop,https://github.com/mihazzz123/main-shop.git,0,0,0,30,434,2
223,DiggerZhou,Mall,DiggerZhou/Mall,https://github.com/DiggerZhou/Mall.git,0,0,16,31,2283,2
224,cagilan,online-product-purchase-vue,cagilan/online-product-purchase-vue,https://github.com/cagilan/online-product-purchase-vue.git,1,0,1,48,97,2
225,yeminko,online-shop,yeminko/online-shop,https://github.com/yeminko/online-shop.git,1,0,0,44,430,2
226,Ryukyo,online-shop,Ryukyo/online-shop,https://github.com/Ryukyo/online-shop.git,0,0,0,56,1960,2
227,tomleb3,bookie,tomleb3/bookie,https://github.com/tomleb3/bookie.git,1,0,0,19,3517,2
228,BrunoPrdt,my_vue-js_online_shop,BrunoPrdt/my_vue-js_online_shop,https://github.com/BrunoPrdt/my_vue-js_online_shop.git,0,0,9,28,732,2
229,AustinRichburg,shop-dummy,AustinRichburg/shop-dummy,https://github.com/AustinRichburg/shop-dummy.git,1,0,0,42,442,2
230,Jarkovato,Indi-shop,Jarkovato/Indi-shop,https://github.com/Jarkovato/Indi-shop.git,0,0,0,35,17708,2
231,sashaj,vue-shop,sashaj/vue-shop,https://github.com/sashaj/vue-shop.git,0,0,0,48,3488,2
232,AnnisaRizki30,FE-VueJs-Nuxt-Online-Shopping-Web,AnnisaRizki30/FE-VueJs-Nuxt-Online-Shopping-Web,https://github.com/AnnisaRizki30/FE-VueJs-Nuxt-Online-Shopping-Web.git,1,0,0,0,3981,2
233,git-nori,_tr-vuex-_vue-online-storewith-shopping-cart,git-nori/_tr-vuex-_vue-online-storewith-shopping-cart,https://github.com/git-nori/_tr-vuex-_vue-online-storewith-shopping-cart.git,0,0,21,0,5513,2
234,maheralayoubi,NodeJS-VueJS-Online-Shop,maheralayoubi/NodeJS-VueJS-Online-Shop,https://github.com/maheralayoubi/NodeJS-VueJS-Online-Shop.git,1,1,0,0,14,2
235,ext2a,vuedemo,ext2a/vuedemo,https://github.com/ext2a/vuedemo.git,0,0,0,37,109,2
236,yueyue200830,ShopMe,yueyue200830/ShopMe,https://github.com/yueyue200830/ShopMe.git,0,0,1,47,1350,2
237,siattesting,vueonlineshop,siattesting/vueonlineshop,https://github.com/siattesting/vueonlineshop.git,1,0,23,50,4707,2
238,GeorgyDolganov,vuexonlinestore,GeorgyDolganov/vuexonlinestore,https://github.com/GeorgyDolganov/vuexonlinestore.git,0,0,15,44,1358,2
239,anaalamed,online-shop,anaalamed/online-shop,https://github.com/anaalamed/online-shop.git,0,0,0,98,1387,2
240,admicaa,vue-cli-small-online-shop,admicaa/vue-cli-small-online-shop,https://github.com/admicaa/vue-cli-small-online-shop.git,0,0,20,45,2058,2
241,Beisenbayev,nuxt-online-shop,Beisenbayev/nuxt-online-shop,https://github.com/Beisenbayev/nuxt-online-shop.git,0,0,0,32,175,2
242,filip106,luka-shop-frontend,filip106/luka-shop-frontend,https://github.com/filip106/luka-shop-frontend.git,0,0,17,27,986,2
243,agampreetsingh,shoppingAppVue,agampreetsingh/shoppingAppVue,https://github.com/agampreetsingh/shoppingAppVue.git,1,0,0,53,3245,2
244,oliverrochester,Online-Shopping-App-Vue.js,oliverrochester/Online-Shopping-App-Vue.js,https://github.com/oliverrochester/Online-Shopping-App-Vue.js.git,1,0,1,182,3235,2
245,DaliaTarek96,simple-online-shopping-using-vue,DaliaTarek96/simple-online-shopping-using-vue,https://github.com/DaliaTarek96/simple-online-shopping-using-vue.git,1,0,0,0,1125,2
246,meiluhua,C2C-Online-Shop,meiluhua/C2C-Online-Shop,https://github.com/meiluhua/C2C-Online-Shop.git,0,0,0,47,17895,2
247,miyasinarafat,vue-store,miyasinarafat/vue-store,https://github.com/miyasinarafat/vue-store.git,1,0,0,44,183,2
248,tngeene,vue-3-demo-fitness-shop,tngeene/vue-3-demo-fitness-shop,https://github.com/tngeene/vue-3-demo-fitness-shop.git,0,0,0,37,200,2
249,NasrinHaidari,Vue-fundamental,NasrinHaidari/Vue-fundamental,https://github.com/NasrinHaidari/Vue-fundamental.git,1,0,0,49,4643,2
250,hetiansu5,vue-mall,hetiansu5/vue-mall,https://github.com/hetiansu5/vue-mall.git,1,0,25,52,2188,2
251,rp88imxo,RmlOnlineShop,rp88imxo/RmlOnlineShop,https://github.com/rp88imxo/RmlOnlineShop.git,1,0,0,40,9094,2
252,YuryPrymak,OliosOnlineShop,YuryPrymak/OliosOnlineShop,https://github.com/YuryPrymak/OliosOnlineShop.git,0,0,0,54,6153,2
253,yichengyiguo,onlineShop,yichengyiguo/onlineShop,https://github.com/yichengyiguo/onlineShop.git,1,0,0,29,1323,2
254,YouthguyZ,online-shopping,YouthguyZ/online-shopping,https://github.com/YouthguyZ/online-shopping.git,0,1,0,48,1428,2
255,sartim,vue_shop_admin,sartim/vue_shop_admin,https://github.com/sartim/vue_shop_admin.git,1,1,11,95,180,2
256,Stoneleee,online-shop,Stoneleee/online-shop,https://github.com/Stoneleee/online-shop.git,1,0,14,76,279,2
257,GarikGelios,online_shop,GarikGelios/online_shop,https://github.com/GarikGelios/online_shop.git,0,0,23,65,3603,2
258,vibhavk,YourShopVue,vibhavk/YourShopVue,https://github.com/vibhavk/YourShopVue.git,0,1,0,51,138,2
259,amsalud,PosterShop-Vue,amsalud/PosterShop-Vue,https://github.com/amsalud/PosterShop-Vue.git,0,0,32,55,3897,2
260,webmaster1022,Vue-Shop-Master,webmaster1022/Vue-Shop-Master,https://github.com/webmaster1022/Vue-Shop-Master.git,0,1,0,58,512,2
261,udosenakane,shop,udosenakane/shop,https://github.com/udosenakane/shop.git,0,0,0,99,14155,2
262,fjmn2001,vue-online-store,fjmn2001/vue-online-store,https://github.com/fjmn2001/vue-online-store.git,0,1,0,79,187,2
263,Zakratus,lodestar-online-shop,Zakratus/lodestar-online-shop,https://github.com/Zakratus/lodestar-online-shop.git,0,0,0,116,7131,2
264,DaSun30,vue_shop,DaSun30/vue_shop,https://github.com/DaSun30/vue_shop.git,1,0,0,64,4280,2
265,git-nori,_tr_Vue-Online-Store-with-Shopping-Cart,git-nori/_tr_Vue-Online-Store-with-Shopping-Cart,https://github.com/git-nori/_tr_Vue-Online-Store-with-Shopping-Cart.git,0,0,17,71,1129,2
266,woshigde,an-app-designed-for-online-shopping,woshigde/an-app-designed-for-online-shopping,https://github.com/woshigde/an-app-designed-for-online-shopping.git,1,1,22,39,2229,2
267,JackCrysler,online-shop,JackCrysler/online-shop,https://github.com/JackCrysler/online-shop.git,1,1,0,27,3021,2
268,zaitsava-katsiaryna,online_shop,zaitsava-katsiaryna/online_shop,https://github.com/zaitsava-katsiaryna/online_shop.git,0,0,0,125,413,2
269,chen86860,may-shop,chen86860/may-shop,https://github.com/chen86860/may-shop.git,0,1,0,42,6693,2
270,77tao,online-shopping-mall,77tao/online-shopping-mall,https://github.com/77tao/online-shopping-mall.git,0,0,5,28,1472,2
271,KYang72Bcit,kqhandmade-online-shop,KYang72Bcit/kqhandmade-online-shop,https://github.com/KYang72Bcit/kqhandmade-online-shop.git,0,0,0,69,3399,2
272,tomastoews,Garonne-Online-Shop-UI,tomastoews/Garonne-Online-Shop-UI,https://github.com/tomastoews/Garonne-Online-Shop-UI.git,0,0,23,78,5560,2
273,77tao,online-shopping-admin,77tao/online-shopping-admin,https://github.com/77tao/online-shopping-admin.git,0,0,6,28,1280,2
274,314yyds,online-shop-admin-ui,314yyds/online-shop-admin-ui,https://github.com/314yyds/online-shop-admin-ui.git,0,0,0,70,500,2
275,KaramullinTimur,ShoppingApp-Vue-SCSS-TypeScript,KaramullinTimur/ShoppingApp-Vue-SCSS-TypeScript,https://github.com/KaramullinTimur/ShoppingApp-Vue-SCSS-TypeScript.git,0,0,0,103,711,2
276,jczzz,vue-express-online-shop-v1,jczzz/vue-express-online-shop-v1,https://github.com/jczzz/vue-express-online-shop-v1.git,1,0,0,53,3345,2
277,aijan999,vue-pet-depot-miniOnlineShop,aijan999/vue-pet-depot-miniOnlineShop,https://github.com/aijan999/vue-pet-depot-miniOnlineShop.git,0,0,0,0,127,2
278,Nereitay,C.C.Online,Nereitay/C.C.Online,https://github.com/Nereitay/C.C.Online.git,2,0,0,52,22340,2
279,janesser,build-an-online-shop-with-vue-ts,janesser/build-an-online-shop-with-vue-ts,https://github.com/janesser/build-an-online-shop-with-vue-ts.git,1,1,0,68,113,2
280,Brilliantwebdev1125,Simple-shopping-site,Brilliantwebdev1125/Simple-shopping-site,https://github.com/Brilliantwebdev1125/Simple-shopping-site.git,0,0,0,48,7286,2
281,lilitmans,shop-template-vuejs,lilitmans/shop-template-vuejs,https://github.com/lilitmans/shop-template-vuejs.git,0,0,19,70,1336,2
282,isbard,ScotchVueShop,isbard/ScotchVueShop,https://github.com/isbard/ScotchVueShop.git,1,0,0,89,18,2
283,EtienneFR,shop-testing,EtienneFR/shop-testing,https://github.com/EtienneFR/shop-testing.git,0,0,0,57,175,2
284,roma-marshall,studious-engine,roma-marshall/studious-engine,https://github.com/roma-marshall/studious-engine.git,0,0,0,49,292,2
285,flaredragon,Ostore,flaredragon/Ostore,https://github.com/flaredragon/Ostore.git,0,0,0,38,93,2
286,lovaiible,lovaiible,lovaiible/lovaiible,https://github.com/lovaiible/lovaiible.git,0,0,17,57,6553,2
287,Rashmikatti,SocialMart,Rashmikatti/SocialMart,https://github.com/Rashmikatti/SocialMart.git,0,0,0,46,221,2
288,rennygalindez,vue-poke-shopping-cart,rennygalindez/vue-poke-shopping-cart,https://github.com/rennygalindez/vue-poke-shopping-cart.git,0,0,0,100,159,2
289,rayc2045,horizontal-scrolling-theater,rayc2045/horizontal-scrolling-theater,https://github.com/rayc2045/horizontal-scrolling-theater.git,0,0,0,31,15767,2
290,Harshada-Mulye,webshop-vue,Harshada-Mulye/webshop-vue,https://github.com/Harshada-Mulye/webshop-vue.git,1,0,0,78,246,2
291,Yanyeee,ShoppingMall,Yanyeee/ShoppingMall,https://github.com/Yanyeee/ShoppingMall.git,0,1,0,68,626,2
292,Mistergpofficial,meeks-onlinestore-client,Mistergpofficial/meeks-onlinestore-client,https://github.com/Mistergpofficial/meeks-onlinestore-client.git,1,1,0,65,3093,2
293,firstake,shops-prices,firstake/shops-prices,https://github.com/firstake/shops-prices.git,0,0,1,74,3895,2
294,VladislavDeveloper,e-shop_onVue.js,VladislavDeveloper/e-shop_onVue.js,https://github.com/VladislavDeveloper/e-shop_onVue.js.git,0,0,0,107,271,2
295,MoiOcanas,vuex-sneaker-shop,MoiOcanas/vuex-sneaker-shop,https://github.com/MoiOcanas/vuex-sneaker-shop.git,1,1,18,162,8807,2
296,pratikshitre,demo_project_vue_js,pratikshitre/demo_project_vue_js,https://github.com/pratikshitre/demo_project_vue_js.git,0,0,0,80,4723,2
297,qianwen155,vue-webpack-node,qianwen155/vue-webpack-node,https://github.com/qianwen155/vue-webpack-node.git,0,0,0,31,25989,2
298,dynamohuang,elementUI-goods-spec,dynamohuang/elementUI-goods-spec,https://github.com/dynamohuang/elementUI-goods-spec.git,0,2,0,88,82,2
299,quintans,Jaystore,quintans/Jaystore,https://github.com/quintans/Jaystore.git,0,1,0,70,64,2
300,msaber69,msaber69-Online-shopping-site-using-Vue.js,msaber69/msaber69-Online-shopping-site-using-Vue.js,https://github.com/msaber69/msaber69-Online-shopping-site-using-Vue.js.git,0,0,0,0,21,2
301,kryukalexander,shopping-list,kryukalexander/shopping-list,https://github.com/kryukalexander/shopping-list.git,0,0,0,89,155,2
302,jehdaileg,Shopping-Cart-,jehdaileg/Shopping-Cart-,https://github.com/jehdaileg/Shopping-Cart-.git,0,1,0,85,235,2
303,MaxKortelov,shop-page,MaxKortelov/shop-page,https://github.com/MaxKortelov/shop-page.git,0,0,0,110,1239,2
304,VladislavDeveloper,e-shop_onVue_webpack,VladislavDeveloper/e-shop_onVue_webpack,https://github.com/VladislavDeveloper/e-shop_onVue_webpack.git,0,0,0,125,356,2
305,odayakanaasa,e-shop-books,odayakanaasa/e-shop-books,https://github.com/odayakanaasa/e-shop-books.git,0,0,0,74,244,2
306,kkonne,ecommerce-shop-frontend,kkonne/ecommerce-shop-frontend,https://github.com/kkonne/ecommerce-shop-frontend.git,0,0,0,82,187,2
307,neilmerton,poc-vape-shop,neilmerton/poc-vape-shop,https://github.com/neilmerton/poc-vape-shop.git,0,0,16,66,1845,2
308,zakharovda95,vue_ts-composition_api-japanese_sweets_store,zakharovda95/vue_ts-composition_api-japanese_sweets_store,https://github.com/zakharovda95/vue_ts-composition_api-japanese_sweets_store.git,0,0,0,79,762,2
309,Stanislavskiy,vue_cart,Stanislavskiy/vue_cart,https://github.com/Stanislavskiy/vue_cart.git,0,0,3,83,610,2
310,PAXANDDOS,pokeshop-vue,PAXANDDOS/pokeshop-vue,https://github.com/PAXANDDOS/pokeshop-vue.git,0,0,0,102,1431,2
311,Mistergpofficial,meeks-onlinestore-rest-api,Mistergpofficial/meeks-onlinestore-rest-api,https://github.com/Mistergpofficial/meeks-onlinestore-rest-api.git,1,1,0,91,8447,2
312,CCC-Shop,ccc-shop-frontend,CCC-Shop/ccc-shop-frontend,https://github.com/CCC-Shop/ccc-shop-frontend.git,1,0,0,63,1513,2
313,jakubzadrozny,SuperShop,jakubzadrozny/SuperShop,https://github.com/jakubzadrozny/SuperShop.git,0,0,0,91,75,2
314,vudelkaa,plant-house,vudelkaa/plant-house,https://github.com/vudelkaa/plant-house.git,0,1,0,86,82129,2
315,YunYon-Bank,yunyon-turoturo,YunYon-Bank/yunyon-turoturo,https://github.com/YunYon-Bank/yunyon-turoturo.git,0,0,0,63,146,2
316,googlpasha,minishop,googlpasha/minishop,https://github.com/googlpasha/minishop.git,0,1,0,62,2868,2
317,itemashabanov,spb-kassa,itemashabanov/spb-kassa,https://github.com/itemashabanov/spb-kassa.git,0,0,0,51,1341,2
318,nazeer-allahham,Just4Sport,nazeer-allahham/Just4Sport,https://github.com/nazeer-allahham/Just4Sport.git,0,0,0,79,4399,2
319,johnchuks,Kickshop,johnchuks/Kickshop,https://github.com/johnchuks/Kickshop.git,0,0,0,60,172,2
320,markofrontend,nabavi.ga,markofrontend/nabavi.ga,https://github.com/markofrontend/nabavi.ga.git,0,0,0,77,505,2
321,AlexLiu2022,OnePiece-Online,AlexLiu2022/OnePiece-Online,https://github.com/AlexLiu2022/OnePiece-Online.git,0,0,0,121,2974,2
322,AmanAzim,E-watch-store-VueJs,AmanAzim/E-watch-store-VueJs,https://github.com/AmanAzim/E-watch-store-VueJs.git,0,2,20,390,37650,2
323,kacperkrasnal,teashop,kacperkrasnal/teashop,https://github.com/kacperkrasnal/teashop.git,0,0,0,83,3160,2
324,odhiamboatieno,Laravel-Vue-JS-eCommerce-Platfom,odhiamboatieno/Laravel-Vue-JS-eCommerce-Platfom,https://github.com/odhiamboatieno/Laravel-Vue-JS-eCommerce-Platfom.git,0,1,0,303,12795,2
325,FachryMochammad,Morgshop-server,FachryMochammad/Morgshop-server,https://github.com/FachryMochammad/Morgshop-server.git,0,0,0,137,82,2
326,atomasso,CheckoutSystem,atomasso/CheckoutSystem,https://github.com/atomasso/CheckoutSystem.git,0,0,4,106,530,2
327,FachryMochammad,Morgshop,FachryMochammad/Morgshop,https://github.com/FachryMochammad/Morgshop.git,0,0,0,137,2307,2
328,ivanpaghubasan,pdm-capstone,ivanpaghubasan/pdm-capstone,https://github.com/ivanpaghubasan/pdm-capstone.git,0,0,4,126,23391,2
329,StevieV1903,SOLEHomepageVUE,StevieV1903/SOLEHomepageVUE,https://github.com/StevieV1903/SOLEHomepageVUE.git,0,0,0,333,1655,2
330,matt185,store-simulator,matt185/store-simulator,https://github.com/matt185/store-simulator.git,0,0,0,169,5403,2
331,nwebstone,goods_shop,nwebstone/goods_shop,https://github.com/nwebstone/goods_shop.git,0,1,0,299,5824,2
