rank,owner,name,full_name,clone_url,forks,watchers,open_issues,describtion_length,size,branches
108,fatemehalimardaani,notgoldencrown,fatemehalimardaani/notgoldencrown,https://github.com/fatemehalimardaani/notgoldencrown.git,1,0,16,24,54599,2
109,rouzbeh-hatamy,lotus-shop,rouzbeh-hatamy/lotus-shop,https://github.com/rouzbeh-hatamy/lotus-shop.git,1,2,0,17,1100,2
110,shamouni,shop-react,shamouni/shop-react,https://github.com/shamouni/shop-react.git,0,0,0,17,25278,2
111,mohammad-reza-sasani,react-online-shop-template,mohammad-reza-sasani/react-online-shop-template,https://github.com/mohammad-reza-sasani/react-online-shop-template.git,0,0,0,20,2648,2
112,craghagBg,miniEcommerce,craghagBg/miniEcommerce,https://github.com/craghagBg/miniEcommerce.git,1,0,0,23,106,2
113,AnnaButrimenko,ONLINE_SHOP,AnnaButrimenko/ONLINE_SHOP,https://github.com/AnnaButrimenko/ONLINE_SHOP.git,1,0,9,20,61649,2
114,myurm,react-online-shop-trial,myurm/react-online-shop-trial,https://github.com/myurm/react-online-shop-trial.git,1,0,0,23,2210,2
115,aleksandr-wegele,react-shop,aleksandr-wegele/react-shop,https://github.com/aleksandr-wegele/react-shop.git,0,1,0,27,898,2
116,sahinerbay,Burger-Man,sahinerbay/Burger-Man,https://github.com/sahinerbay/Burger-Man.git,1,0,0,27,291,2
117,Alex3195,Online-sport-shop-in-react,Alex3195/Online-sport-shop-in-react,https://github.com/Alex3195/Online-sport-shop-in-react.git,0,0,0,21,107447,2
118,sergej-er,react-online-shop,sergej-er/react-online-shop,https://github.com/sergej-er/react-online-shop.git,0,0,0,23,697,2
119,JakeHumphries,crwn-clothing,JakeHumphries/crwn-clothing,https://github.com/JakeHumphries/crwn-clothing.git,1,0,0,17,1008,2
120,ahmdammarr,cyper-shop,ahmdammarr/cyper-shop,https://github.com/ahmdammarr/cyper-shop.git,0,0,0,17,247,2
121,3barney,online-shop,3barney/online-shop,https://github.com/3barney/online-shop.git,1,0,0,21,100,2
122,JohnnyShtekel,react-alcohol-shop,JohnnyShtekel/react-alcohol-shop,https://github.com/JohnnyShtekel/react-alcohol-shop.git,2,0,0,26,737,2
