,name,full_name,clone_url,forks,watchers,open_issues,size,n_branches,len_description,owner,framework
65,online_shop_63,Dazzv-King/online_shop_63,https://github.com/Dazzv-King/online_shop_63.git,0,1,0,1403,2,45,Dazzv-King,vue
66,vue--OnlineShop,AlittleFenQing/vue--OnlineShop,https://github.com/AlittleFenQing/vue--OnlineShop.git,2,1,0,668,2,9,AlittleFenQing,vue
67,OnlineShoppingVue.JS,DaliaTarek96/OnlineShoppingVue.JS,https://github.com/DaliaTarek96/OnlineShoppingVue.JS.git,1,0,23,7444,2,0,DaliaTarek96,vue
68,onlineShopVue,alexminsk7/onlineShopVue,https://github.com/alexminsk7/onlineShopVue.git,1,0,19,2796,2,0,alexminsk7,vue
69,VUE-webpack-OnlineShoping,FuloliyaLansfroya/VUE-webpack-OnlineShoping,https://github.com/FuloliyaLansfroya/VUE-webpack-OnlineShoping.git,1,0,0,18,2,16,FuloliyaLansfroya,vue
70,onlineShop-Vue,olesyakostina/onlineShop-Vue,https://github.com/olesyakostina/onlineShop-Vue.git,1,0,0,213,2,0,olesyakostina,vue
71,OnlineShop-Vue,Svet-lana93/OnlineShop-Vue,https://github.com/Svet-lana93/OnlineShop-Vue.git,0,0,0,23,2,0,Svet-lana93,vue
72,goods_shop,EvanZhangLi/goods_shop,https://github.com/EvanZhangLi/goods_shop.git,2,2,0,5824,2,299,EvanZhangLi,vue
73,VUE-OnlineShop,liuxiaoyu-LXY/VUE-OnlineShop,https://github.com/liuxiaoyu-LXY/VUE-OnlineShop.git,1,0,0,24151,2,33,liuxiaoyu-LXY,vue
74,onlineShoppingCart-Vue,theSLWayne/onlineShoppingCart-Vue,https://github.com/theSLWayne/onlineShoppingCart-Vue.git,1,0,0,59,2,46,theSLWayne,vue
75,onlinerShop-vue,hubr33/onlinerShop-vue,https://github.com/hubr33/onlinerShop-vue.git,1,0,0,133,2,0,hubr33,vue
76,OnlineVueShop,SantiRey/OnlineVueShop,https://github.com/SantiRey/OnlineVueShop.git,1,0,0,5938,2,0,SantiRey,vue
77,VueJsForVkontakteShop,LaMileyn/VueJsForVkontakteShop,https://github.com/LaMileyn/VueJsForVkontakteShop.git,1,0,0,210,2,34,LaMileyn,vue
78,ItalaShop,JHONNY25/ItalaShop,https://github.com/JHONNY25/ItalaShop.git,1,0,0,11704,2,44,JHONNY25,vue
79,Online-Shop,White11010/Online-Shop,https://github.com/White11010/Online-Shop.git,1,1,0,2022,2,10,White11010,vue
80,online_shop,dimores28/online_shop,https://github.com/dimores28/online_shop.git,1,0,0,385,2,16,dimores28,vue
81,VueOnlineShop,TigranMnjoyan96/VueOnlineShop,https://github.com/TigranMnjoyan96/VueOnlineShop.git,1,0,20,8060,2,0,TigranMnjoyan96,vue
