,name,full_name,clone_url,forks,watchers,open_issues,size,n_branches,len_description,owner,framework
213,ShopJob,valdezpjose/ShopJob,https://github.com/valdezpjose/ShopJob.git,0,0,0,697,2,31,valdezpjose,react
214,ShoppingCartOnline,sudharsan201/ShoppingCartOnline,https://github.com/sudharsan201/ShoppingCartOnline.git,0,0,0,463,2,16,sudharsan201,react
215,OnlineShop,Hadi-Edalatkhah-Web/OnlineShop,https://github.com/Hadi-Edalatkhah-Web/OnlineShop.git,0,1,0,309,2,31,Hadi-Edalatkhah-Web,react
216,OnlineShop,Marek-Barela/OnlineShop,https://github.com/Marek-Barela/OnlineShop.git,0,0,0,181,2,41,Marek-Barela,react
217,OnlineShop,milanasinik/OnlineShop,https://github.com/milanasinik/OnlineShop.git,0,0,0,26748,2,42,milanasinik,react
218,online-shopping-cart,shimingzhao/online-shopping-cart,https://github.com/shimingzhao/online-shopping-cart.git,0,0,0,874,2,26,shimingzhao,react
219,ReactJS-Route-OnlineShopping,Megala-Subramani/ReactJS-Route-OnlineShopping,https://github.com/Megala-Subramani/ReactJS-Route-OnlineShopping.git,0,0,0,195,2,27,Megala-Subramani,react
220,OnlineShop_Django_ReactJS,TieuHieu/OnlineShop_Django_ReactJS,https://github.com/TieuHieu/OnlineShop_Django_ReactJS.git,0,0,0,1598,2,0,TieuHieu,react
221,react-app,gukaguka/react-app,https://github.com/gukaguka/react-app.git,0,0,0,759,2,28,gukaguka,react
222,flyonlineshop-react,daattis/flyonlineshop-react,https://github.com/daattis/flyonlineshop-react.git,0,0,0,4339,2,27,daattis,react
223,react-shop,ch3ber/react-shop,https://github.com/ch3ber/react-shop.git,0,0,0,474,2,30,ch3ber,react
224,online-shop-react,aloknath1/online-shop-react,https://github.com/aloknath1/online-shop-react.git,0,0,0,400,2,30,aloknath1,react
225,exreactshop,Aziaev/exreactshop,https://github.com/Aziaev/exreactshop.git,0,0,0,3202,2,31,Aziaev,react
226,minions-shop,arturzybin/minions-shop,https://github.com/arturzybin/minions-shop.git,0,0,1,2965,2,34,arturzybin,react
227,react-clothing-shop,yuankunluo/react-clothing-shop,https://github.com/yuankunluo/react-clothing-shop.git,0,0,1,1277,2,28,yuankunluo,react
228,jasky-clothing,Joshmatjjen/jasky-clothing,https://github.com/Joshmatjjen/jasky-clothing.git,0,0,6,61493,2,31,Joshmatjjen,react
229,online-shopping-app-react,darshana-perera-97/online-shopping-app-react,https://github.com/darshana-perera-97/online-shopping-app-react.git,0,0,0,1203,2,30,darshana-perera-97,react
230,online_shop_project,sourena-kazemi/online_shop_project,https://github.com/sourena-kazemi/online_shop_project.git,0,1,0,577,2,31,sourena-kazemi,react
231,shop_react,AM-Saad/shop_react,https://github.com/AM-Saad/shop_react.git,0,0,0,1618,2,29,AM-Saad,react
232,ShopOnline_ReactNodeJS,nguyenvanthuong0201/ShopOnline_ReactNodeJS,https://github.com/nguyenvanthuong0201/ShopOnline_ReactNodeJS.git,0,0,0,1353,2,0,nguyenvanthuong0201,react
233,MerchStore,czartek7/MerchStore,https://github.com/czartek7/MerchStore.git,0,0,0,1536,2,28,czartek7,react
234,Online-Shopping-App-FINAL-React,Srinivasharidwajk/Online-Shopping-App-FINAL-React,https://github.com/Srinivasharidwajk/Online-Shopping-App-FINAL-React.git,0,0,0,3406,2,31,Srinivasharidwajk,react
235,reactjs-online-store,elham-ya/reactjs-online-store,https://github.com/elham-ya/reactjs-online-store.git,0,0,0,584,2,30,elham-ya,react
236,My-ReactJS-ShoppingOnline,NguyenTGBao/My-ReactJS-ShoppingOnline,https://github.com/NguyenTGBao/My-ReactJS-ShoppingOnline.git,0,0,16,8302,2,47,NguyenTGBao,react
237,M_tumba,HMugera/M_tumba,https://github.com/HMugera/M_tumba.git,0,0,0,1603,2,38,HMugera,react
238,online-shop-reactJS,AskardGO/online-shop-reactJS,https://github.com/AskardGO/online-shop-reactJS.git,0,0,1,1420,2,35,AskardGO,react
239,pc-online-shop,devcharleneg/pc-online-shop,https://github.com/devcharleneg/pc-online-shop.git,0,0,0,49,2,26,devcharleneg,react
240,React-Native-shop,stanicavuleta/React-Native-shop,https://github.com/stanicavuleta/React-Native-shop.git,0,0,0,109484,2,28,stanicavuleta,react
241,online-barter-shop-frontend,abdkgd/online-barter-shop-frontend,https://github.com/abdkgd/online-barter-shop-frontend.git,0,1,0,3763,2,30,abdkgd,react
242,react-online-shop,Aleksios22/react-online-shop,https://github.com/Aleksios22/react-online-shop.git,0,0,0,1160,2,27,Aleksios22,react
243,CLO-Shop,1Mehranazizi/CLO-Shop,https://github.com/1Mehranazizi/CLO-Shop.git,0,0,0,1659,2,26,1Mehranazizi,react
244,react-shop,FellonOne/react-shop,https://github.com/FellonOne/react-shop.git,0,0,0,1188,2,13,FellonOne,react
245,react-shop,hartmannieru/react-shop,https://github.com/hartmannieru/react-shop.git,0,0,0,795,2,12,hartmannieru,react
246,react-online-shop,jakeredgrave/react-online-shop,https://github.com/jakeredgrave/react-online-shop.git,0,0,0,587,2,27,jakeredgrave,react
247,online-shop,hojatde/online-shop,https://github.com/hojatde/online-shop.git,0,0,0,24,2,15,hojatde,react
248,online_shop,PedramChegini/online_shop,https://github.com/PedramChegini/online_shop.git,0,0,0,353,2,11,PedramChegini,react
249,crwn-clothing,behnamizadii/crwn-clothing,https://github.com/behnamizadii/crwn-clothing.git,0,0,18,7373,2,39,behnamizadii,react
250,online-shop,mohammedahmadi1990/online-shop,https://github.com/mohammedahmadi1990/online-shop.git,0,1,0,505,2,16,mohammedahmadi1990,react
251,react-redux__MobileShop,Tarashchyk/react-redux__MobileShop,https://github.com/Tarashchyk/react-redux__MobileShop.git,0,0,1,1587,2,31,Tarashchyk,react
252,kmb-clothing,hamidKMB/kmb-clothing,https://github.com/hamidKMB/kmb-clothing.git,0,0,0,1604,2,31,hamidKMB,react
253,shopping-app,lakshmipunati/shopping-app,https://github.com/lakshmipunati/shopping-app.git,0,0,0,584,2,32,lakshmipunati,react
254,Phone-Online-Shop,PivenFedorIgorevich/Phone-Online-Shop,https://github.com/PivenFedorIgorevich/Phone-Online-Shop.git,0,0,14,610,2,34,PivenFedorIgorevich,react
255,Online-Shop-Sample-With-React,NiloofarAhmari/Online-Shop-Sample-With-React,https://github.com/NiloofarAhmari/Online-Shop-Sample-With-React.git,0,1,0,45158,2,29,NiloofarAhmari,react
256,react-shop,PhilippMelnikov/react-shop,https://github.com/PhilippMelnikov/react-shop.git,0,0,0,16847,2,33,PhilippMelnikov,react
257,Bikerstop-React,charles161/Bikerstop-React,https://github.com/charles161/Bikerstop-React.git,0,0,0,43,2,31,charles161,react
258,react-online-shop,fauzynurn/react-online-shop,https://github.com/fauzynurn/react-online-shop.git,0,0,0,813,2,35,fauzynurn,react
259,crown-clothing,palaevren/crown-clothing,https://github.com/palaevren/crown-clothing.git,0,0,0,1088,2,41,palaevren,react
260,maxima-test-task,adkhambitious/maxima-test-task,https://github.com/adkhambitious/maxima-test-task.git,0,0,0,323,2,29,adkhambitious,react
261,ecommerce-front-end,csecsiandras/ecommerce-front-end,https://github.com/csecsiandras/ecommerce-front-end.git,0,0,18,2634,2,28,csecsiandras,react
262,Flower-shop,HA-81/Flower-shop,https://github.com/HA-81/Flower-shop.git,0,0,0,2357,2,27,HA-81,react
263,andersen-react-4,spamhws/andersen-react-4,https://github.com/spamhws/andersen-react-4.git,0,0,0,1244,2,30,spamhws,react
264,react-online-shop,bts-developer/react-online-shop,https://github.com/bts-developer/react-online-shop.git,0,0,1,1254,2,30,bts-developer,react
265,online-shop-app,EdgarBag/online-shop-app,https://github.com/EdgarBag/online-shop-app.git,0,0,0,1693,2,29,EdgarBag,react
266,Amazonas-Shop,juandcastroj/Amazonas-Shop,https://github.com/juandcastroj/Amazonas-Shop.git,0,0,0,746,2,29,juandcastroj,react
267,react-clothing-shop,muyassarov/react-clothing-shop,https://github.com/muyassarov/react-clothing-shop.git,0,0,0,1116,2,31,muyassarov,react
268,react-native-my-store,SamuelAlencar/react-native-my-store,https://github.com/SamuelAlencar/react-native-my-store.git,0,0,0,274,2,29,SamuelAlencar,react
269,shop-app,Tekill39/shop-app,https://github.com/Tekill39/shop-app.git,0,0,0,508,2,29,Tekill39,react
270,online-comics-shop,edugarver/online-comics-shop,https://github.com/edugarver/online-comics-shop.git,0,0,0,1063,2,29,edugarver,react
271,project02-react,IoanaBobleaga/project02-react,https://github.com/IoanaBobleaga/project02-react.git,0,0,0,169,2,37,IoanaBobleaga,react
272,crwn-clothing,mjimenezmartin/crwn-clothing,https://github.com/mjimenezmartin/crwn-clothing.git,0,0,0,247,2,30,mjimenezmartin,react
273,AppShopOnline,rainyhuynh/AppShopOnline,https://github.com/rainyhuynh/AppShopOnline.git,0,0,1,2198,2,29,rainyhuynh,react
274,PizzaStore,sergeykorolov/PizzaStore,https://github.com/sergeykorolov/PizzaStore.git,0,0,0,1559,2,26,sergeykorolov,react
275,shop-project,leonid9191/shop-project,https://github.com/leonid9191/shop-project.git,0,0,0,416,2,27,leonid9191,react
276,project-2-online-shop,AlexandruMolete/project-2-online-shop,https://github.com/AlexandruMolete/project-2-online-shop.git,0,0,0,186,2,28,AlexandruMolete,react
277,ReactMamaDunyasi,feyzabecerr/ReactMamaDunyasi,https://github.com/feyzabecerr/ReactMamaDunyasi.git,0,1,0,2598,2,55,feyzabecerr,react
278,onln-clothing-shop,dimurajsamuraj/onln-clothing-shop,https://github.com/dimurajsamuraj/onln-clothing-shop.git,0,0,2,1167,2,25,dimurajsamuraj,react
279,underground,Claudiu7672/underground,https://github.com/Claudiu7672/underground.git,0,0,0,1173,2,28,Claudiu7672,react
280,React-OnlineShop,eugbyte/React-OnlineShop,https://github.com/eugbyte/React-OnlineShop.git,0,0,1,1100,2,32,eugbyte,react
281,Online-Shopping-Cart,dineshvm/Online-Shopping-Cart,https://github.com/dineshvm/Online-Shopping-Cart.git,0,0,0,151,2,31,dineshvm,react
282,online-shopping-react,likithsai/online-shopping-react,https://github.com/likithsai/online-shopping-react.git,0,0,0,1063,2,30,likithsai,react
283,shop-online,karol-nogal/shop-online,https://github.com/karol-nogal/shop-online.git,0,0,0,5367,2,58,karol-nogal,react
284,reactStudy_shop,baesee/reactStudy_shop,https://github.com/baesee/reactStudy_shop.git,0,0,0,508,2,25,baesee,react
285,react-redux-training,XoldpandaX/react-redux-training,https://github.com/XoldpandaX/react-redux-training.git,0,0,0,191,2,33,XoldpandaX,react
286,TS-online_shop,wambua-iv/TS-online_shop,https://github.com/wambua-iv/TS-online_shop.git,0,0,0,8559,2,61,wambua-iv,react
287,React.js-OnlineShop,zangar-sultanbek/React.js-OnlineShop,https://github.com/zangar-sultanbek/React.js-OnlineShop.git,0,0,0,288,2,79,zangar-sultanbek,react
288,online-shop-front,hojatde/online-shop-front,https://github.com/hojatde/online-shop-front.git,0,0,0,1089,2,5,hojatde,react
289,Online-Shop-APP,mrAnd5rs0n/Online-Shop-APP,https://github.com/mrAnd5rs0n/Online-Shop-APP.git,0,0,0,40942,2,5,mrAnd5rs0n,react
290,node-react-shop,xolesteroll/node-react-shop,https://github.com/xolesteroll/node-react-shop.git,0,0,0,36,2,29,xolesteroll,react
291,Web-React-Tailwindcss,Khepanha/Web-React-Tailwindcss,https://github.com/Khepanha/Web-React-Tailwindcss.git,0,0,0,4525,2,32,Khepanha,react
292,Benku-OnlineShop,morshedulmunna/Benku-OnlineShop,https://github.com/morshedulmunna/Benku-OnlineShop.git,0,0,0,324,2,86,morshedulmunna,react
293,OnlineShopinReactjs,coderaudi/OnlineShopinReactjs,https://github.com/coderaudi/OnlineShopinReactjs.git,0,0,0,147,2,0,coderaudi,react
294,react-onlineShop,ayim21/react-onlineShop,https://github.com/ayim21/react-onlineShop.git,0,0,0,5462,2,0,ayim21,react
295,onlineShopReact,anabbaa/onlineShopReact,https://github.com/anabbaa/onlineShopReact.git,0,0,0,822,2,0,anabbaa,react
296,React-Online-Shop,MarkoGlisic/React-Online-Shop,https://github.com/MarkoGlisic/React-Online-Shop.git,0,0,0,473,2,27,MarkoGlisic,react
297,OnlineShopReact,RuslanMiakin/OnlineShopReact,https://github.com/RuslanMiakin/OnlineShopReact.git,0,0,0,3981,2,0,RuslanMiakin,react
298,react-onlineShop,Alirezakarimi79/react-onlineShop,https://github.com/Alirezakarimi79/react-onlineShop.git,0,0,0,717,2,0,Alirezakarimi79,react
299,onlineShop_react,Fateme-nm/onlineShop_react,https://github.com/Fateme-nm/onlineShop_react.git,0,0,0,1660,2,0,Fateme-nm,react
300,react-onlineShop,shaghayeghmohammadi/react-onlineShop,https://github.com/shaghayeghmohammadi/react-onlineShop.git,0,0,0,1141,2,0,shaghayeghmohammadi,react
301,react-redux-onlineShop,azzazzelor/react-redux-onlineShop,https://github.com/azzazzelor/react-redux-onlineShop.git,0,0,0,979,2,0,azzazzelor,react
302,online-shop,edouardblais/online-shop,https://github.com/edouardblais/online-shop.git,0,0,0,6563,2,24,edouardblais,react
303,onlineShopWithReact,mjBayati/onlineShopWithReact,https://github.com/mjBayati/onlineShopWithReact.git,0,0,0,839,2,0,mjBayati,react
304,OnlineShop-React,HuPaL/OnlineShop-React,https://github.com/HuPaL/OnlineShop-React.git,0,0,0,181,2,0,HuPaL,react
305,onlineShop-react,aminimani35/onlineShop-react,https://github.com/aminimani35/onlineShop-react.git,0,1,0,1425,2,0,aminimani35,react
306,Simple-OnlineShop-React,toukyyeasir/Simple-OnlineShop-React,https://github.com/toukyyeasir/Simple-OnlineShop-React.git,0,0,0,1755,2,0,toukyyeasir,react
307,OnlineReactShop,estatelelashvili/OnlineReactShop,https://github.com/estatelelashvili/OnlineReactShop.git,0,0,0,698,2,27,estatelelashvili,react
308,React_OnlineShop,AhmadDwiyan/React_OnlineShop,https://github.com/AhmadDwiyan/React_OnlineShop.git,0,0,1,507,2,0,AhmadDwiyan,react
309,React-MERN-OnlineShop,samsoncsyu7777/React-MERN-OnlineShop,https://github.com/samsoncsyu7777/React-MERN-OnlineShop.git,0,1,0,7795,2,127,samsoncsyu7777,react
310,React_OnlineShop_Website,bhaveshpatil856/React_OnlineShop_Website,https://github.com/bhaveshpatil856/React_OnlineShop_Website.git,0,0,0,217,2,0,bhaveshpatil856,react
311,onlineShopping-By-React,sara547/onlineShopping-By-React,https://github.com/sara547/onlineShopping-By-React.git,0,0,0,2213,2,0,sara547,react
312,onlineShopReactNode,GevorgPoghosyan95/onlineShopReactNode,https://github.com/GevorgPoghosyan95/onlineShopReactNode.git,0,0,0,271,2,0,GevorgPoghosyan95,react
313,OnlineShoppingListReact,MuellerMarvin/OnlineShoppingListReact,https://github.com/MuellerMarvin/OnlineShoppingListReact.git,0,0,1,532,2,49,MuellerMarvin,react
314,React-onlineShopping-,han19920516/React-onlineShopping-,https://github.com/han19920516/React-onlineShopping-.git,0,0,0,330,2,0,han19920516,react
315,e-commerse,arkaaaadiy/e-commerse,https://github.com/arkaaaadiy/e-commerse.git,0,0,1,15549,2,40,arkaaaadiy,react
316,React_HOJA_OnlineShop,WangHsuan/React_HOJA_OnlineShop,https://github.com/WangHsuan/React_HOJA_OnlineShop.git,0,0,2,4037,2,0,WangHsuan,react
317,onlineShopWhitReact,pouyaMomeni/onlineShopWhitReact,https://github.com/pouyaMomeni/onlineShopWhitReact.git,0,0,0,1633,2,14,pouyaMomeni,react
318,onlineShopReact,AnimeManna/onlineShopReact,https://github.com/AnimeManna/onlineShopReact.git,0,0,0,13706,2,15,AnimeManna,react
319,OnlineShop-React-Django,Zhayr1/OnlineShop-React-Django,https://github.com/Zhayr1/OnlineShop-React-Django.git,0,0,0,866,2,112,Zhayr1,react
320,OnlineShop-React,Ashkan771010/OnlineShop-React,https://github.com/Ashkan771010/OnlineShop-React.git,0,0,0,2674,2,0,Ashkan771010,react
321,onlineShoppingCart-React,MattToczek/onlineShoppingCart-React,https://github.com/MattToczek/onlineShoppingCart-React.git,0,0,15,2682,2,0,MattToczek,react
322,react_onlineShop,CaitlynFowkes/react_onlineShop,https://github.com/CaitlynFowkes/react_onlineShop.git,0,0,1,663,2,0,CaitlynFowkes,react
323,training-shop,Xaky0105/training-shop,https://github.com/Xaky0105/training-shop.git,0,0,1,35446,2,21,Xaky0105,react
324,sneakers-shop,gowagowa-cha/sneakers-shop,https://github.com/gowagowa-cha/sneakers-shop.git,0,0,0,1741,2,21,gowagowa-cha,react
325,insticator-shop,kritinsinghal/insticator-shop,https://github.com/kritinsinghal/insticator-shop.git,0,0,0,993,2,20,kritinsinghal,react
326,React-onlineShop,rahil1978/React-onlineShop,https://github.com/rahil1978/React-onlineShop.git,0,0,21,3189,2,87,rahil1978,react
327,OnlineShop_reactjs,kunhuy0899/OnlineShop_reactjs,https://github.com/kunhuy0899/OnlineShop_reactjs.git,0,0,0,842,2,0,kunhuy0899,react
328,OnlineShopReact,CathKolar/OnlineShopReact,https://github.com/CathKolar/OnlineShopReact.git,0,0,0,114238,2,0,CathKolar,react
329,OnlineShopReact,Teitei011/OnlineShopReact,https://github.com/Teitei011/OnlineShopReact.git,0,0,0,1210,2,0,Teitei011,react
330,React---OnlineShopTutorial,ngfenglong/React---OnlineShopTutorial,https://github.com/ngfenglong/React---OnlineShopTutorial.git,0,0,0,6329,2,0,ngfenglong,react
