,name,full_name,clone_url,forks,watchers,open_issues,size,n_branches,len_description,owner,framework
36,OnlineStore,MarnusCoetzee/OnlineStore,https://github.com/MarnusCoetzee/OnlineStore.git,0,0,2,7059,2,33,MarnusCoetzee,angular
37,onlineShopping,vhosamane/onlineShopping,https://github.com/vhosamane/onlineShopping.git,0,0,3,837,2,38,vhosamane,angular
38,ShopOnlineCliente,john3245/ShopOnlineCliente,https://github.com/john3245/ShopOnlineCliente.git,0,0,17,2955,2,7,john3245,angular
39,shoppingOnline,Alongil/shoppingOnline,https://github.com/Alongil/shoppingOnline.git,0,0,0,1296,2,15,Alongil,angular
40,LifeonlineShop,SakBran/LifeonlineShop,https://github.com/SakBran/LifeonlineShop.git,0,0,20,1195,2,31,SakBran,angular
41,ng-online-shop,SergeyLitvin/ng-online-shop,https://github.com/SergeyLitvin/ng-online-shop.git,0,0,0,514,2,22,SergeyLitvin,angular
42,Stop-to-Shop,Swetaben/Stop-to-Shop,https://github.com/Swetaben/Stop-to-Shop.git,0,0,2,447,2,27,Swetaben,angular
43,angular-internet-shop,username40/angular-internet-shop,https://github.com/username40/angular-internet-shop.git,0,0,0,115,2,19,username40,angular
44,myShop,Jalexx08/myShop,https://github.com/Jalexx08/myShop.git,0,0,0,74,2,28,Jalexx08,angular
45,DemoOnilineShop,sagarluitel01/DemoOnilineShop,https://github.com/sagarluitel01/DemoOnilineShop.git,0,0,0,144,2,19,sagarluitel01,angular
46,shop-website,Ivan-Volosevich/shop-website,https://github.com/Ivan-Volosevich/shop-website.git,0,0,0,5748,2,29,Ivan-Volosevich,angular
47,ShopShoes,ummeq/ShopShoes,https://github.com/ummeq/ShopShoes.git,0,0,19,141,2,31,ummeq,angular
48,oShop,MRamadanF/oShop,https://github.com/MRamadanF/oShop.git,0,0,0,157,2,23,MRamadanF,angular
49,Angular8,riteshbhambhani/Angular8,https://github.com/riteshbhambhani/Angular8.git,0,0,2,3333,2,35,riteshbhambhani,angular
50,AngularShopping,IdoHeffer/AngularShopping,https://github.com/IdoHeffer/AngularShopping.git,0,1,4,38411,2,40,IdoHeffer,angular
51,online-shopping,ankit-mishra-edu/online-shopping,https://github.com/ankit-mishra-edu/online-shopping.git,0,0,1,15283,2,34,ankit-mishra-edu,angular
52,OnlineShop,resslen/OnlineShop,https://github.com/resslen/OnlineShop.git,0,0,0,359,2,23,resslen,angular
53,onlineshop-angular4-,samisaeed/onlineshop-angular4-,https://github.com/samisaeed/onlineshop-angular4-.git,0,0,0,142,2,30,samisaeed,angular
54,onlineShop_client,ashulyaev93/onlineShop_client,https://github.com/ashulyaev93/onlineShop_client.git,0,0,0,213,2,15,ashulyaev93,angular
55,online-shop,loisch22/online-shop,https://github.com/loisch22/online-shop.git,0,0,0,81,2,7,loisch22,angular
56,ShopOnline-Front,MarlenArb/ShopOnline-Front,https://github.com/MarlenArb/ShopOnline-Front.git,0,0,14,29266,2,9,MarlenArb,angular
57,angularOnlineShopping,codeapps/angularOnlineShopping,https://github.com/codeapps/angularOnlineShopping.git,0,1,1,13783,2,33,codeapps,angular
58,onlineshoppingclient,somesh1993/onlineshoppingclient,https://github.com/somesh1993/onlineshoppingclient.git,0,0,19,606,2,32,somesh1993,angular
59,AngularShopping,jexpop/AngularShopping,https://github.com/jexpop/AngularShopping.git,0,1,0,504,2,24,jexpop,angular
60,angular-fc-lourenco,lourencovw/angular-fc-lourenco,https://github.com/lourencovw/angular-fc-lourenco.git,0,0,17,2591,2,19,lourencovw,angular
61,OnlineShop,chavesrodolfo/OnlineShop,https://github.com/chavesrodolfo/OnlineShop.git,0,0,0,1004,2,33,chavesrodolfo,angular
62,onlineShop-back,noa-s/onlineShop-back,https://github.com/noa-s/onlineShop-back.git,0,0,0,4152,2,27,noa-s,angular
63,Angular-OnlineShop,08-albert/Angular-OnlineShop,https://github.com/08-albert/Angular-OnlineShop.git,0,0,0,857,2,24,08-albert,angular
64,OnlineShopWebConsumer,kflorczyk/OnlineShopWebConsumer,https://github.com/kflorczyk/OnlineShopWebConsumer.git,0,0,0,1112,2,30,kflorczyk,angular
65,OnlineShopApp,sarahvdb/OnlineShopApp,https://github.com/sarahvdb/OnlineShopApp.git,0,0,0,47879,2,16,sarahvdb,angular
66,OnlineShoppingCart,Kusuma18/OnlineShoppingCart,https://github.com/Kusuma18/OnlineShoppingCart.git,0,0,10,1350,2,40,Kusuma18,angular
67,shop-online,renatodysouza/shop-online,https://github.com/renatodysouza/shop-online.git,0,0,0,470,2,25,renatodysouza,angular
68,Shopping-Online,ofirtalbi/Shopping-Online,https://github.com/ofirtalbi/Shopping-Online.git,0,0,0,2731,2,35,ofirtalbi,angular
69,Online-Grocery,kokilaMurugasamy/Online-Grocery,https://github.com/kokilaMurugasamy/Online-Grocery.git,0,0,2,5016,2,38,kokilaMurugasamy,angular
70,online_shop,VictoriyaSheifer/online_shop,https://github.com/VictoriyaSheifer/online_shop.git,0,0,0,95395,2,30,VictoriyaSheifer,angular
71,online-shop,programmingvidya/online-shop,https://github.com/programmingvidya/online-shop.git,0,0,0,104,2,15,programmingvidya,angular
72,online-shop,devqi/online-shop,https://github.com/devqi/online-shop.git,0,0,18,2707,2,16,devqi,angular
73,OnlineGroupShopping,amandademetrio/OnlineGroupShopping,https://github.com/amandademetrio/OnlineGroupShopping.git,0,0,0,21365,2,43,amandademetrio,angular
74,OnlineShoppingDemo,seshasaik/OnlineShoppingDemo,https://github.com/seshasaik/OnlineShoppingDemo.git,0,0,20,984,2,36,seshasaik,angular
75,Online-Shopping-Demo,msureshmewara/Online-Shopping-Demo,https://github.com/msureshmewara/Online-Shopping-Demo.git,0,0,16,4419,2,7,msureshmewara,angular
76,ShopOnline,Aravindharigoppula/ShopOnline,https://github.com/Aravindharigoppula/ShopOnline.git,0,1,0,290,2,55,Aravindharigoppula,angular
77,eshop-app,princekumardev/eshop-app,https://github.com/princekumardev/eshop-app.git,0,0,0,344,2,40,princekumardev,angular
78,online-shop-angular,plongnguyen/online-shop-angular,https://github.com/plongnguyen/online-shop-angular.git,0,0,0,5316,2,32,plongnguyen,angular
79,Angular-Shop,Edmund27/Angular-Shop,https://github.com/Edmund27/Angular-Shop.git,0,0,0,142,2,27,Edmund27,angular
80,simple-shop-angular,OlesMelnik/simple-shop-angular,https://github.com/OlesMelnik/simple-shop-angular.git,0,0,0,165,2,29,OlesMelnik,angular
81,angularjs-shoppinglist,colinbut/angularjs-shoppinglist,https://github.com/colinbut/angularjs-shoppinglist.git,0,0,0,65,2,39,colinbut,angular
82,Oshop,akidondovdorj/Oshop,https://github.com/akidondovdorj/Oshop.git,0,1,0,26,2,31,akidondovdorj,angular
83,Online-Food-Shopping-app,adelmaek/Online-Food-Shopping-app,https://github.com/adelmaek/Online-Food-Shopping-app.git,0,0,18,2640,2,34,adelmaek,angular
84,eShop,LEEZYDAPROGRAMMER/eShop,https://github.com/LEEZYDAPROGRAMMER/eShop.git,0,0,19,1770,2,34,LEEZYDAPROGRAMMER,angular
85,oshopping,prakashpun/oshopping,https://github.com/prakashpun/oshopping.git,1,1,21,2452,2,35,prakashpun,angular
86,oshop,denisberndt/oshop,https://github.com/denisberndt/oshop.git,0,1,0,608,2,34,denisberndt,angular
87,WebNeostore,jyotij789/WebNeostore,https://github.com/jyotij789/WebNeostore.git,0,0,0,306,2,40,jyotij789,angular
88,Shop.github.io,alinanohas/Shop.github.io,https://github.com/alinanohas/Shop.github.io.git,0,0,0,253,2,34,alinanohas,angular
89,e-commerce,lajith111/e-commerce,https://github.com/lajith111/e-commerce.git,1,2,0,154,2,30,lajith111,angular
90,devschool,pouyio/devschool,https://github.com/pouyio/devschool.git,0,0,0,147,2,40,pouyio,angular
91,shopping-angular-app,HeloyoM/shopping-angular-app,https://github.com/HeloyoM/shopping-angular-app.git,0,0,0,148,2,44,HeloyoM,angular
92,OnlineShopSPA,mizonov-iv/OnlineShopSPA,https://github.com/mizonov-iv/OnlineShopSPA.git,0,0,0,329,2,30,mizonov-iv,angular
93,OnlineShoppingPortal,ThomasMGilman/OnlineShoppingPortal,https://github.com/ThomasMGilman/OnlineShoppingPortal.git,0,0,0,302,2,40,ThomasMGilman,angular
94,ShoppingOnline-Fullstack,NadavBarmatz/ShoppingOnline-Fullstack,https://github.com/NadavBarmatz/ShoppingOnline-Fullstack.git,0,0,0,18299,2,44,NadavBarmatz,angular
95,ngOnlineShoppingCart,praisejoseph/ngOnlineShoppingCart,https://github.com/praisejoseph/ngOnlineShoppingCart.git,0,0,0,1107,2,39,praisejoseph,angular
96,online-shop1,guramijibladze/online-shop1,https://github.com/guramijibladze/online-shop1.git,0,0,0,155,2,27,guramijibladze,angular
97,OnlineShop_2nd_release,Alihkz1/OnlineShop_2nd_release,https://github.com/Alihkz1/OnlineShop_2nd_release.git,0,1,0,943,2,28,Alihkz1,angular
98,shop-online,nirrdev1989/shop-online,https://github.com/nirrdev1989/shop-online.git,0,0,2,14621,2,11,nirrdev1989,angular
99,AngularCartApp,ameysawant8955/AngularCartApp,https://github.com/ameysawant8955/AngularCartApp.git,0,0,4,643,2,40,ameysawant8955,angular
100,Online-shop,Angular2-Directive5/Online-shop,https://github.com/Angular2-Directive5/Online-shop.git,0,0,0,58,2,22,Angular2-Directive5,angular
101,online-shop,kihuynh/online-shop,https://github.com/kihuynh/online-shop.git,0,0,0,118,2,35,kihuynh,angular
102,online-shopping,rsreenidhi/online-shopping,https://github.com/rsreenidhi/online-shopping.git,0,0,3,565,2,30,rsreenidhi,angular
103,online-shopping,chethan1996/online-shopping,https://github.com/chethan1996/online-shopping.git,0,0,2,767,2,16,chethan1996,angular
104,OnlineShoppingAngular,arvind1903/OnlineShoppingAngular,https://github.com/arvind1903/OnlineShoppingAngular.git,0,0,0,1203,2,0,arvind1903,angular
105,OnlineShop_Angular-CSharp,Claudiu-Badilas/OnlineShop_Angular-CSharp,https://github.com/Claudiu-Badilas/OnlineShop_Angular-CSharp.git,0,0,0,3742,2,0,Claudiu-Badilas,angular
106,OnlineShopTask-angular,PaskalevStoyan/OnlineShopTask-angular,https://github.com/PaskalevStoyan/OnlineShopTask-angular.git,0,0,0,994,2,52,PaskalevStoyan,angular
107,OnlineShop-Angular,miloszkulesza/OnlineShop-Angular,https://github.com/miloszkulesza/OnlineShop-Angular.git,0,0,19,5354,2,46,miloszkulesza,angular
108,OnlineShoppingAngularjsOdata,saulhamid/OnlineShoppingAngularjsOdata,https://github.com/saulhamid/OnlineShoppingAngularjsOdata.git,1,0,1,28602,2,28,saulhamid,angular
109,BIU_Angular_OnlineShop,s19766/BIU_Angular_OnlineShop,https://github.com/s19766/BIU_Angular_OnlineShop.git,0,0,0,370,2,0,s19766,angular
110,onlineShopAngular,arthur-wolf/onlineShopAngular,https://github.com/arthur-wolf/onlineShopAngular.git,0,0,0,2644,2,0,arthur-wolf,angular
111,OnlineShopping_Angular,arundhatic/OnlineShopping_Angular,https://github.com/arundhatic/OnlineShopping_Angular.git,0,0,0,72073,2,0,arundhatic,angular
112,Angular.OnlineShop,MarcLignarius/Angular.OnlineShop,https://github.com/MarcLignarius/Angular.OnlineShop.git,0,0,2,384,2,119,MarcLignarius,angular
113,OnlineShopAngular2,Ngvanphong/OnlineShopAngular2,https://github.com/Ngvanphong/OnlineShopAngular2.git,0,0,0,944,2,0,Ngvanphong,angular
114,Angular_OnlineShop,ArtemIgnatiev908976/Angular_OnlineShop,https://github.com/ArtemIgnatiev908976/Angular_OnlineShop.git,0,0,0,647,2,0,ArtemIgnatiev908976,angular
115,OnlineShoppingAngular,Anish150198/OnlineShoppingAngular,https://github.com/Anish150198/OnlineShoppingAngular.git,0,0,0,2480,2,0,Anish150198,angular
116,OnlineShoppingAngular,ali200710/OnlineShoppingAngular,https://github.com/ali200710/OnlineShoppingAngular.git,0,0,0,220,2,0,ali200710,angular
117,Angular-onlineShop,aziz-wali/Angular-onlineShop,https://github.com/aziz-wali/Angular-onlineShop.git,0,0,0,627,2,0,aziz-wali,angular
118,OnlineShop_Angular,kobrarahimi200/OnlineShop_Angular,https://github.com/kobrarahimi200/OnlineShop_Angular.git,0,0,0,126379,2,0,kobrarahimi200,angular
119,OnlineShoppingAngular,Basmae/OnlineShoppingAngular,https://github.com/Basmae/OnlineShoppingAngular.git,0,0,0,4295,2,0,Basmae,angular
120,Angular-OnlineShoppingApp,rajashriudhoji/Angular-OnlineShoppingApp,https://github.com/rajashriudhoji/Angular-OnlineShoppingApp.git,0,0,0,18,2,26,rajashriudhoji,angular
121,Angular-OnlineShopping,erentrk01/Angular-OnlineShopping,https://github.com/erentrk01/Angular-OnlineShopping.git,0,0,0,1162,2,117,erentrk01,angular
122,OnlineShopFromAngular,MaksimSklianik/OnlineShopFromAngular,https://github.com/MaksimSklianik/OnlineShopFromAngular.git,0,0,0,120,2,6,MaksimSklianik,angular
123,angular_nodejs_onlineShop,LwaziMgazi/angular_nodejs_onlineShop,https://github.com/LwaziMgazi/angular_nodejs_onlineShop.git,0,0,0,6657,2,0,LwaziMgazi,angular
124,OnlineShopAngular,HumayGasimova/OnlineShopAngular,https://github.com/HumayGasimova/OnlineShopAngular.git,0,0,19,2845,2,0,HumayGasimova,angular
125,shopOnlineAngular,angelsalvadormx/shopOnlineAngular,https://github.com/angelsalvadormx/shopOnlineAngular.git,0,0,18,2431,2,0,angelsalvadormx,angular
126,electronic-shop,leonid9191/electronic-shop,https://github.com/leonid9191/electronic-shop.git,0,0,0,193,2,35,leonid9191,angular
127,ShoppingOnline_Angular,linhtdhs/ShoppingOnline_Angular,https://github.com/linhtdhs/ShoppingOnline_Angular.git,0,0,0,134,2,0,linhtdhs,angular
128,ShopOnline-Angular-firebase,gowthamiedamalapati/ShopOnline-Angular-firebase,https://github.com/gowthamiedamalapati/ShopOnline-Angular-firebase.git,0,0,0,759,2,0,gowthamiedamalapati,angular
129,AngularOnlineShop,palaogn/AngularOnlineShop,https://github.com/palaogn/AngularOnlineShop.git,0,0,0,148,2,82,palaogn,angular
130,AngularShopOnline,juanfalconcodigo/AngularShopOnline,https://github.com/juanfalconcodigo/AngularShopOnline.git,0,0,0,311,2,47,juanfalconcodigo,angular
131,AngularShoppingOnline,AnaMariaAvram/AngularShoppingOnline,https://github.com/AnaMariaAvram/AngularShoppingOnline.git,0,0,0,67697,2,0,AnaMariaAvram,angular
132,AngularOnlineGameShop,iordanrobertadrian/AngularOnlineGameShop,https://github.com/iordanrobertadrian/AngularOnlineGameShop.git,0,0,12,424,2,0,iordanrobertadrian,angular
133,angularOnlineShop,rachanaSane/angularOnlineShop,https://github.com/rachanaSane/angularOnlineShop.git,0,0,0,115,2,0,rachanaSane,angular
134,angularOnline-Shop,Tysiachnyi/angularOnline-Shop,https://github.com/Tysiachnyi/angularOnline-Shop.git,0,0,2,448,2,0,Tysiachnyi,angular
135,AngularOnlineShopping,monishanandhakumar/AngularOnlineShopping,https://github.com/monishanandhakumar/AngularOnlineShopping.git,0,0,0,166,2,0,monishanandhakumar,angular
136,AngularOnlineBookShop,harshitbitp/AngularOnlineBookShop,https://github.com/harshitbitp/AngularOnlineBookShop.git,0,0,0,892,2,49,harshitbitp,angular
137,WebShop_frontend_AngularJS,Nikzin/WebShop_frontend_AngularJS,https://github.com/Nikzin/WebShop_frontend_AngularJS.git,0,0,0,632,2,33,Nikzin,angular
138,angular-online-shop,PadmaGnanapriya/angular-online-shop,https://github.com/PadmaGnanapriya/angular-online-shop.git,0,0,0,194,2,15,PadmaGnanapriya,angular
139,Online-MyShop,randularsw/Online-MyShop,https://github.com/randularsw/Online-MyShop.git,1,0,19,1713,2,19,randularsw,angular
140,angular2-online-shop,dbp1921/angular2-online-shop,https://github.com/dbp1921/angular2-online-shop.git,1,0,0,83654,2,77,dbp1921,angular
141,angular4-online-shop,marcdacz/angular4-online-shop,https://github.com/marcdacz/angular4-online-shop.git,0,0,0,40,2,43,marcdacz,angular
142,Online-Shopping-Angular2-,rijafahim/Online-Shopping-Angular2-,https://github.com/rijafahim/Online-Shopping-Angular2-.git,0,0,0,55,2,0,rijafahim,angular
143,ShoppingCartOnline,buithanhchinh/ShoppingCartOnline,https://github.com/buithanhchinh/ShoppingCartOnline.git,0,0,0,53,2,38,buithanhchinh,angular
144,onlineShop,naasir27/onlineShop,https://github.com/naasir27/onlineShop.git,0,0,0,118,2,53,naasir27,angular
145,OnlineShopping,yash2701/OnlineShopping,https://github.com/yash2701/OnlineShopping.git,0,0,19,776,2,54,yash2701,angular
146,onlineShop,chinna-naidu/onlineShop,https://github.com/chinna-naidu/onlineShop.git,0,0,0,188,2,59,chinna-naidu,angular
147,OnlineShop,abhijit-mazumdar/OnlineShop,https://github.com/abhijit-mazumdar/OnlineShop.git,0,0,0,64,2,61,abhijit-mazumdar,angular
148,OnlineShop,RomProject/OnlineShop,https://github.com/RomProject/OnlineShop.git,0,1,0,9120,2,49,RomProject,angular
149,OnlineShopper,mohamed351/OnlineShopper,https://github.com/mohamed351/OnlineShopper.git,0,0,4,786,2,50,mohamed351,angular
150,online-shop,tatev-tahmazyan/online-shop,https://github.com/tatev-tahmazyan/online-shop.git,0,0,0,23527,2,35,tatev-tahmazyan,angular
151,angular-online-shop,Majey/angular-online-shop,https://github.com/Majey/angular-online-shop.git,0,0,0,389,2,90,Majey,angular
152,AngularJS1.0-ShopOnline,thuyenuit/AngularJS1.0-ShopOnline,https://github.com/thuyenuit/AngularJS1.0-ShopOnline.git,0,0,0,9617,2,53,thuyenuit,angular
153,online-shop,OksanaHodysh/online-shop,https://github.com/OksanaHodysh/online-shop.git,0,0,18,1888,2,27,OksanaHodysh,angular
154,online-shopping,jo-ngei/online-shopping,https://github.com/jo-ngei/online-shopping.git,0,0,0,250,2,43,jo-ngei,angular
155,online_shop,Libarus/online_shop,https://github.com/Libarus/online_shop.git,0,0,0,142,2,42,Libarus,angular
156,Angular-ShoppingCart,ronanstuchi/Angular-ShoppingCart,https://github.com/ronanstuchi/Angular-ShoppingCart.git,0,0,0,225,2,41,ronanstuchi,angular
157,Online-Shop,harleyowiec/Online-Shop,https://github.com/harleyowiec/Online-Shop.git,0,0,0,215,2,45,harleyowiec,angular
158,Shopping-Online,moti-art/Shopping-Online,https://github.com/moti-art/Shopping-Online.git,0,0,0,149,2,42,moti-art,angular
159,Angular-NodeJS-MongoDB-project,nataliemazal/Angular-NodeJS-MongoDB-project,https://github.com/nataliemazal/Angular-NodeJS-MongoDB-project.git,0,0,0,2567,2,44,nataliemazal,angular
160,platzi-shop,efrain17/platzi-shop,https://github.com/efrain17/platzi-shop.git,0,0,0,36,2,35,efrain17,angular
161,shopAngular,floresfactor/shopAngular,https://github.com/floresfactor/shopAngular.git,0,0,0,116,2,46,floresfactor,angular
162,shopping-online-exercise,mendz/shopping-online-exercise,https://github.com/mendz/shopping-online-exercise.git,0,0,19,1046,2,14,mendz,angular
163,online-shopping-store,kakarot96/online-shopping-store,https://github.com/kakarot96/online-shopping-store.git,0,0,16,699,2,17,kakarot96,angular
164,Online-Shop-Application-Angular,rizaldisepta/Online-Shop-Application-Angular,https://github.com/rizaldisepta/Online-Shop-Application-Angular.git,0,0,0,1050,2,48,rizaldisepta,angular
165,Online-shopping-cart,kaiyuan588/Online-shopping-cart,https://github.com/kaiyuan588/Online-shopping-cart.git,0,0,1,25,2,29,kaiyuan588,angular
166,EcomWebsite-Online-Shopping,buddikatdk/EcomWebsite-Online-Shopping,https://github.com/buddikatdk/EcomWebsite-Online-Shopping.git,0,0,17,2458,2,27,buddikatdk,angular
167,angular-online-shop,patapron/angular-online-shop,https://github.com/patapron/angular-online-shop.git,0,0,19,2554,2,30,patapron,angular
168,Online-shopping-site-Angular,Dive1995/Online-shopping-site-Angular,https://github.com/Dive1995/Online-shopping-site-Angular.git,0,0,0,27175,2,38,Dive1995,angular
169,online-shopping-site-angular,bahadirali/online-shopping-site-angular,https://github.com/bahadirali/online-shopping-site-angular.git,0,0,0,1148,2,45,bahadirali,angular
170,Building-Angular-based-Shopping-Cart,manish0502/Building-Angular-based-Shopping-Cart,https://github.com/manish0502/Building-Angular-based-Shopping-Cart.git,0,2,0,860,2,136,manish0502,angular
171,OnlineShopingCartAngular6,amitpawar832ap/OnlineShopingCartAngular6,https://github.com/amitpawar832ap/OnlineShopingCartAngular6.git,0,0,0,106,2,0,amitpawar832ap,angular
172,OnlineShoppingApp-using-Angular,dasarka/OnlineShoppingApp-using-Angular,https://github.com/dasarka/OnlineShoppingApp-using-Angular.git,0,1,0,370,2,0,dasarka,angular
173,OnlineGrocery,Iodachi/OnlineGrocery,https://github.com/Iodachi/OnlineGrocery.git,0,0,0,68921,2,62,Iodachi,angular
174,OnlineShop_Angular-SpringFramework,Claudiu-Badilas/OnlineShop_Angular-SpringFramework,https://github.com/Claudiu-Badilas/OnlineShop_Angular-SpringFramework.git,0,0,0,4499,2,0,Claudiu-Badilas,angular
175,Angular-shop,strike9906/Angular-shop,https://github.com/strike9906/Angular-shop.git,0,0,0,301,2,34,strike9906,angular
176,Angular-Project,Sateesh30/Angular-Project,https://github.com/Sateesh30/Angular-Project.git,0,0,0,98,2,41,Sateesh30,angular
177,eshopping-angular,nagarajuakula/eshopping-angular,https://github.com/nagarajuakula/eshopping-angular.git,0,0,0,1587,2,48,nagarajuakula,angular
178,Angular-project,IndiraHuseinagic/Angular-project,https://github.com/IndiraHuseinagic/Angular-project.git,0,0,0,34515,2,41,IndiraHuseinagic,angular
179,online-shop,paint-it-green/online-shop,https://github.com/paint-it-green/online-shop.git,0,0,0,356,2,44,paint-it-green,angular
180,Online_shop,feria22/Online_shop,https://github.com/feria22/Online_shop.git,0,0,17,343,2,44,feria22,angular
181,angular_shop,Belchenkov/angular_shop,https://github.com/Belchenkov/angular_shop.git,0,0,13,497,2,33,Belchenkov,angular
182,online-Shopping,aron-milu/online-Shopping,https://github.com/aron-milu/online-Shopping.git,0,0,0,245,2,37,aron-milu,angular
183,frontend-meang-onlineshop,gareder/frontend-meang-onlineshop,https://github.com/gareder/frontend-meang-onlineshop.git,0,0,0,2334,2,38,gareder,angular
184,Online-Shopping-App,nirannjan/Online-Shopping-App,https://github.com/nirannjan/Online-Shopping-App.git,0,0,0,23,2,39,nirannjan,angular
