,owner,name,full_name,clone_url,forks,watchers,open_issues,describtion_length,size,branches,framework
58,ghaitsazahiras,vue-online-shop-cli,ghaitsazahiras/vue-online-shop-cli,https://github.com/ghaitsazahiras/vue-online-shop-cli.git,0,0,0,23,201,2,vue
59,MaxEinSof,Online-Shop,MaxEinSof/Online-Shop,https://github.com/MaxEinSof/Online-Shop.git,0,0,0,56,349,2,vue
60,vscchencc,vue-online-shop,vscchencc/vue-online-shop,https://github.com/vscchencc/vue-online-shop.git,1,0,22,25,2891,2,vue
61,rakaardiansyah,vuejs-onlineshop,rakaardiansyah/vuejs-onlineshop,https://github.com/rakaardiansyah/vuejs-onlineshop.git,0,0,0,37,125,2,vue
62,pt-phone-home,vue-onlineShop,pt-phone-home/vue-onlineShop,https://github.com/pt-phone-home/vue-onlineShop.git,1,0,18,0,8229,2,vue
63,DoomOrGroom,vue_onlineShop,DoomOrGroom/vue_onlineShop,https://github.com/DoomOrGroom/vue_onlineShop.git,0,0,0,9,96,2,vue
64,AlittleFenQing,vue--OnlineShop,AlittleFenQing/vue--OnlineShop,https://github.com/AlittleFenQing/vue--OnlineShop.git,1,1,0,9,668,2,vue
65,DaliaTarek96,OnlineShoppingVue.JS,DaliaTarek96/OnlineShoppingVue.JS,https://github.com/DaliaTarek96/OnlineShoppingVue.JS.git,0,0,23,0,7444,2,vue
66,alexminsk7,onlineShopVue,alexminsk7/onlineShopVue,https://github.com/alexminsk7/onlineShopVue.git,0,0,19,0,2796,2,vue
67,SantiRey,OnlineVueShop,SantiRey/OnlineVueShop,https://github.com/SantiRey/OnlineVueShop.git,0,0,0,0,5938,2,vue
68,FuloliyaLansfroya,VUE-webpack-OnlineShoping,FuloliyaLansfroya/VUE-webpack-OnlineShoping,https://github.com/FuloliyaLansfroya/VUE-webpack-OnlineShoping.git,0,0,0,16,18,2,vue
69,olesyakostina,onlineShop-Vue,olesyakostina/onlineShop-Vue,https://github.com/olesyakostina/onlineShop-Vue.git,0,0,0,0,213,2,vue
70,liuxiaoyu-LXY,VUE-OnlineShop,liuxiaoyu-LXY/VUE-OnlineShop,https://github.com/liuxiaoyu-LXY/VUE-OnlineShop.git,0,0,0,33,24151,2,vue
71,Grinch3214,online_shop-vue,Grinch3214/online_shop-vue,https://github.com/Grinch3214/online_shop-vue.git,0,0,0,41,1965,2,vue
72,theSLWayne,onlineShoppingCart-Vue,theSLWayne/onlineShoppingCart-Vue,https://github.com/theSLWayne/onlineShoppingCart-Vue.git,0,0,0,46,59,2,vue
73,hubr33,onlinerShop-vue,hubr33/onlinerShop-vue,https://github.com/hubr33/onlinerShop-vue.git,0,0,0,0,133,2,vue
74,LaMileyn,VueJsForVkontakteShop,LaMileyn/VueJsForVkontakteShop,https://github.com/LaMileyn/VueJsForVkontakteShop.git,0,0,0,34,210,2,vue
75,JHONNY25,ItalaShop,JHONNY25/ItalaShop,https://github.com/JHONNY25/ItalaShop.git,0,0,0,44,11704,2,vue
76,dimores28,online_shop,dimores28/online_shop,https://github.com/dimores28/online_shop.git,0,0,0,16,385,2,vue
77,White11010,Online-Shop,White11010/Online-Shop,https://github.com/White11010/Online-Shop.git,0,1,0,10,2022,2,vue
78,TigranMnjoyan96,VueOnlineShop,TigranMnjoyan96/VueOnlineShop,https://github.com/TigranMnjoyan96/VueOnlineShop.git,0,0,20,0,8060,2,vue
79,mrgugalev,vueOnlineShop,mrgugalev/vueOnlineShop,https://github.com/mrgugalev/vueOnlineShop.git,0,0,2,0,525,2,vue
80,lorymore,VueOnlineShop,lorymore/VueOnlineShop,https://github.com/lorymore/VueOnlineShop.git,0,0,0,0,225,2,vue
81,haloleo,VueOnlineShopping,haloleo/VueOnlineShopping,https://github.com/haloleo/VueOnlineShopping.git,0,0,0,68,204,2,vue
82,xmenw,VueOnlineShop,xmenw/VueOnlineShop,https://github.com/xmenw/VueOnlineShop.git,1,1,21,0,5772,2,vue
83,francoisblin,online_shop_vueJs,francoisblin/online_shop_vueJs,https://github.com/francoisblin/online_shop_vueJs.git,0,1,1,0,474,2,vue
84,qiaoliang,shop-online-vue3,qiaoliang/shop-online-vue3,https://github.com/qiaoliang/shop-online-vue3.git,0,0,0,0,2354,2,vue
85,ultramarichka,Vue3-online-shop,ultramarichka/Vue3-online-shop,https://github.com/ultramarichka/Vue3-online-shop.git,1,0,0,68,257,2,vue
86,Gvenvivar25,vue3-online-shop,Gvenvivar25/vue3-online-shop,https://github.com/Gvenvivar25/vue3-online-shop.git,0,0,0,0,217,2,vue
87,MonaLizaOverdrivee,vue3-online-shop,MonaLizaOverdrivee/vue3-online-shop,https://github.com/MonaLizaOverdrivee/vue3-online-shop.git,0,1,0,0,621,2,vue
88,kirigaikabuto,VueOnlineShop,kirigaikabuto/VueOnlineShop,https://github.com/kirigaikabuto/VueOnlineShop.git,0,0,11,0,1070,2,vue
89,Mxuan-831home,OnlineShoppingMall,Mxuan-831home/OnlineShoppingMall,https://github.com/Mxuan-831home/OnlineShoppingMall.git,0,0,1,8,46,2,vue
90,justborney,vue_cli_online_shop,justborney/vue_cli_online_shop,https://github.com/justborney/vue_cli_online_shop.git,1,0,0,15,499,2,vue
91,antjazldev,OnlineShopping,antjazldev/OnlineShopping,https://github.com/antjazldev/OnlineShopping.git,0,0,28,52,3884,2,vue
92,T882200,vueshop,T882200/vueshop,https://github.com/T882200/vueshop.git,1,0,0,34,105,2,vue
93,iRobbKing,online_shop,iRobbKing/online_shop,https://github.com/iRobbKing/online_shop.git,0,0,0,19,497,2,vue
94,Inffinite,Online-Shop,Inffinite/Online-Shop,https://github.com/Inffinite/Online-Shop.git,0,1,0,46,1083,2,vue
95,HalShaw,Online-shop,HalShaw/Online-shop,https://github.com/HalShaw/Online-shop.git,1,0,3,29,605,2,vue
96,Rusl10,online-shop,Rusl10/online-shop,https://github.com/Rusl10/online-shop.git,0,0,0,29,374,2,vue
97,ALPHA-DEV-MYANMAR,online-shopping,ALPHA-DEV-MYANMAR/online-shopping,https://github.com/ALPHA-DEV-MYANMAR/online-shopping.git,0,0,0,35,288,2,vue
