blocker_violations,bugs,classes,code_smells,cognitive_complexity,comment_lines,comment_lines_density,file_complexity,confirmed_issues,coverage,critical_violations,complexity,last_commit_date,development_cost,duplicated_blocks,duplicated_files,duplicated_lines,duplicated_lines_density,effort_to_reach_maintainability_rating_a,false_positive_issues,files,functions,info_violations,violations,line_coverage,lines,ncloc,ncloc_language_distribution,lines_to_cover,sqale_rating,major_violations,minor_violations,open_issues,reliability_rating,reliability_remediation_effort,reopened_issues,security_hotspots,security_hotspots_reviewed,security_rating,security_remediation_effort,security_review_rating,security_hotspots_reviewed_status,security_hotspots_to_review_status,skipped_tests
0,3,6,40,79,46,1.3,3.1,0,0.0,1,250,1659710157803,101520,19,5,808,20.4,0,0,101,190,0,43,0.0,3970,3384,css=455;js=2905;web=24,396,1.0,23,19,43,3.0,3,0,0,,1.0,0,1.0,0,0,
0,2,3,18,61,45,2.6,3.7,0,0.0,1,149,1575154624000,51330,0,0,0,0.0,0,0,60,107,0,20,0.0,1982,1711,css=443;js=1250;web=18,200,1.0,13,6,20,3.0,2,0,0,,1.0,0,1.0,0,0,
4,16,26,162,454,338,1.8,6.8,0,0.0,13,1262,1585480428000,542760,415,43,5132,26.0,0,0,186,881,7,178,0.0,19768,18092,css=491;js=1250;ts=16351,1629,1.0,105,49,178,3.0,32,0,1,0.0,1.0,0,5.0,0,1,
0,0,3,26,68,61,3.3,3.5,0,0.0,1,159,1602698882000,53760,0,0,0,0.0,0,0,65,112,0,26,0.0,2172,1792,css=396;js=1373;web=23,217,1.0,11,14,26,1.0,0,0,0,,1.0,0,1.0,0,0,
17,1,2,263,624,495,3.6,5.4,0,0.0,23,1492,1659702327834,400470,19,6,380,2.5,0,0,284,1038,0,265,0.0,15404,13349,css=154;js=13160;web=35,2646,1.0,202,23,265,4.0,10,0,5,0.0,4.0,10,5.0,0,5,
0,0,2,3,37,48,8.5,5.8,0,0.0,1,58,1603586036000,15450,0,0,0,0.0,0,0,17,39,0,3,0.0,651,515,css=148;js=347;web=20,71,1.0,2,0,3,1.0,0,0,0,,1.0,0,1.0,0,0,
0,8,0,12,40,38,4.0,4.3,0,0.0,1,73,1600420104000,27240,0,0,0,0.0,0,0,29,46,0,20,0.0,1117,908,css=524;js=364;web=20,95,1.0,13,6,20,3.0,8,0,0,,1.0,0,1.0,0,0,
0,0,0,4,6,14,3.9,1.0,0,0.0,0,23,1659711520303,10230,0,0,0,0.0,0,0,23,18,2,4,0.0,423,341,css=16;js=324;web=1,54,1.0,1,1,4,1.0,0,0,0,,1.0,0,1.0,0,0,
0,0,2,1,42,41,7.0,6.7,0,0.0,0,80,1536583165000,16320,0,0,0,0.0,0,0,17,50,0,1,0.0,670,544,css=167;js=360;web=17,93,1.0,0,1,1,1.0,0,0,1,0.0,1.0,0,5.0,0,1,
0,0,0,6,30,10,0.4,4.6,0,0.0,0,147,1585475942000,66810,19,7,311,10.8,0,0,49,115,0,6,0.0,2867,2227,css=1095;ts=1111;web=21,432,1.0,4,2,6,1.0,0,0,0,,1.0,0,1.0,0,0,
