complexity,cognitive_complexity,duplicated_blocks,duplicated_files,duplicated_lines,duplicated_lines_density,violations,open_issues,confirmed_issues,false_positive_issues,blocker_violations,critical_violations,major_violations,minor_violations,info_violations,code_smells,sqale_rating,sqale_index,sqale_debt_ratio,alert_status,quality_gate_details,bugs,reliability_rating,reliability_remediation_effort,vulnerabilities,security_rating,security_remediation_effort,security_hotspots,security_review_rating,security_hotspots_reviewed,lines_to_cover,skipped_tests,tests,test_execution_time,test_errors,test_failures,test_success_density
52,5,0,0,0,0.0,25,25,0,0,0,3,6,16,0,21,1.0,58,0.3,OK,"{""level"":""OK"",""conditions"":[],""ignoredConditions"":false}",4,3.0,11,0,1.0,0,0,1.0,,79,,,,,,
165,26,0,0,0,0.0,47,47,0,0,0,11,28,8,0,32,1.0,100,0.2,OK,"{""level"":""OK"",""conditions"":[],""ignoredConditions"":false}",15,3.0,16,0,1.0,0,0,1.0,,163,,,,,,
171,36,2,2,68,3.7,59,59,0,0,1,7,12,36,3,41,1.0,141,0.3,OK,"{""level"":""OK"",""conditions"":[],""ignoredConditions"":false}",18,3.0,36,0,1.0,0,12,5.0,0.0,375,,,,,,
1951,961,45,25,1174,4.6,700,700,0,0,0,50,442,205,3,517,1.0,2885,0.5,OK,"{""level"":""OK"",""conditions"":[],""ignoredConditions"":false}",183,3.0,411,0,1.0,0,4,5.0,0.0,4640,,,,,,
78,38,0,0,0,0.0,40,40,0,0,0,10,16,14,0,27,1.0,95,0.2,OK,"{""level"":""OK"",""conditions"":[],""ignoredConditions"":false}",13,4.0,44,0,1.0,0,3,5.0,0.0,177,,,,,,
45,7,0,0,0,0.0,17,17,0,0,0,4,8,5,0,16,1.0,55,0.3,OK,"{""level"":""OK"",""conditions"":[],""ignoredConditions"":false}",1,3.0,1,0,1.0,0,0,1.0,,73,,,,,,
92,2,0,0,0,0.0,35,35,0,0,0,18,13,4,0,29,1.0,121,0.5,OK,"{""level"":""OK"",""conditions"":[],""ignoredConditions"":false}",6,3.0,23,0,1.0,0,1,5.0,0.0,157,,,,,,
494,173,4,2,64,0.6,496,496,0,0,6,21,177,292,0,189,1.0,854,0.4,OK,"{""level"":""OK"",""conditions"":[],""ignoredConditions"":false}",307,5.0,629,0,1.0,0,16,5.0,0.0,1602,,,,,,
401,32,1109,82,8520,7.0,10847,10847,0,0,1871,65,7819,1088,4,7235,1.0,34316,1.2,OK,"{""level"":""OK"",""conditions"":[],""ignoredConditions"":false}",3612,5.0,13054,0,1.0,0,61,5.0,0.0,223,,,,,,
76,56,0,0,0,0.0,56,56,0,0,0,1,14,41,0,15,1.0,192,1.1,OK,"{""level"":""OK"",""conditions"":[],""ignoredConditions"":false}",41,4.0,86,0,1.0,0,0,1.0,,170,,,,,,
228,31,0,0,0,0.0,95,95,0,0,0,18,40,37,0,65,1.0,276,0.3,OK,"{""level"":""OK"",""conditions"":[],""ignoredConditions"":false}",30,3.0,60,0,1.0,0,5,5.0,0.0,367,,,,,,
158,93,2,2,62,0.9,50,50,0,0,2,1,20,27,0,37,1.0,107,0.1,OK,"{""level"":""OK"",""conditions"":[],""ignoredConditions"":false}",13,3.0,30,0,1.0,0,1,5.0,0.0,580,,,,,,
153,13,2,2,58,2.8,133,133,0,0,0,8,43,82,0,78,1.0,270,0.5,OK,"{""level"":""OK"",""conditions"":[],""ignoredConditions"":false}",55,3.0,100,0,1.0,0,0,1.0,,301,,,,,,
42,2,6,6,160,15.7,24,24,0,0,0,2,17,5,0,16,1.0,66,0.5,OK,"{""level"":""OK"",""conditions"":[],""ignoredConditions"":false}",8,3.0,15,0,1.0,0,0,1.0,,96,,,,,,
89,7,0,0,0,0.0,49,49,0,0,0,6,12,31,0,49,1.0,117,0.4,OK,"{""level"":""OK"",""conditions"":[],""ignoredConditions"":false}",0,1.0,0,0,1.0,0,0,1.0,,100,,,,,,
247,21,0,0,0,0.0,106,106,0,0,0,6,55,45,0,73,1.0,199,0.4,OK,"{""level"":""OK"",""conditions"":[],""ignoredConditions"":false}",33,3.0,46,0,1.0,0,1,5.0,0.0,402,,,,,,
94,24,0,0,0,0.0,55,55,0,0,0,3,29,23,0,42,1.0,176,0.7,OK,"{""level"":""OK"",""conditions"":[],""ignoredConditions"":false}",13,3.0,23,0,1.0,0,0,1.0,,185,,,,,,
