blocker_violations,bugs,classes,code_smells,cognitive_complexity,comment_lines,comment_lines_density,file_complexity,confirmed_issues,coverage,critical_violations,complexity,last_commit_date,development_cost,duplicated_blocks,duplicated_files,duplicated_lines,duplicated_lines_density,effort_to_reach_maintainability_rating_a,false_positive_issues,files,functions,info_violations,violations,line_coverage,lines,ncloc,ncloc_language_distribution,lines_to_cover,sqale_rating,major_violations,minor_violations,open_issues,reliability_rating,reliability_remediation_effort,reopened_issues,security_hotspots,security_hotspots_reviewed,security_rating,security_remediation_effort,security_review_rating,security_hotspots_reviewed_status,security_hotspots_to_review_status,skipped_tests
0,0,7,19,44,34,2.8,4.0,0,0.0,0,158,1651478459000,35730,2,2,50,3.6,0,0,40,122,0,19,0.0,1376,1191,js=1165;web=26,394,1.0,10,9,19,1.0,0,0,2,0.0,1.0,0,5.0,0,2,
0,0,0,13,13,27,7.1,3.3,0,0.0,0,52,1634251488000,10530,0,0,0,0.0,0,0,18,44,0,13,0.0,647,351,css=5;js=330;web=16,66,1.0,13,0,13,1.0,0,0,0,,1.0,0,1.0,0,0,
0,0,0,1,5,39,26.4,1.0,0,0.0,0,7,1619157895000,3270,0,0,0,0.0,0,0,7,5,0,1,0.0,193,109,js=109,59,1.0,1,0,1,1.0,0,0,2,0.0,1.0,0,5.0,0,2,
0,2,4,21,67,46,2.5,3.8,0,0.0,1,178,1585693433000,53040,0,0,0,0.0,0,0,66,130,0,23,0.0,2106,1768,css=413;js=1334;web=21,243,1.0,14,8,23,3.0,2,0,1,0.0,1.0,0,5.0,0,1,
0,4,0,2,7,10,2.3,3.6,0,0.0,0,64,1596594287000,12570,2,1,46,6.2,0,0,18,51,0,6,0.0,741,419,js=403;web=16,106,1.0,6,0,6,3.0,20,0,1,0.0,1.0,0,5.0,0,1,
1,1275,57,131,216,1013,4.5,2.7,0,0.0,27,482,1659513861417,651810,198,8,964,2.6,0,0,232,322,0,1406,0.0,37753,21727,css=16950;js=2170;php=2577;xml=30,922,1.0,178,1200,1406,3.0,2459,0,3,0.0,1.0,0,5.0,0,3,
0,0,0,0,2,26,17.8,1.2,0,0.0,0,7,1634060117000,3600,0,0,0,0.0,0,0,8,4,0,0,0.0,170,120,css=45;js=55;web=20,15,1.0,0,0,0,1.0,0,0,0,,1.0,0,1.0,0,0,
0,2,7,2,45,88,9.1,3.9,0,0.0,1,102,1565802200000,26430,0,0,0,0.0,0,0,28,77,0,4,0.0,1068,881,css=41;js=823;web=17,156,1.0,2,1,4,3.0,6,0,1,0.0,1.0,0,5.0,0,1,
0,0,0,22,0,76,24.1,2.4,0,0.0,0,33,1658939877000,7170,0,0,0,0.0,0,0,14,32,0,22,0.0,499,239,js=78;ts=143;web=18,45,1.0,21,1,22,1.0,0,0,0,,1.0,0,1.0,0,0,
0,3,0,14,135,190,16.1,4.3,0,0.0,3,126,1569578610000,29730,0,0,0,0.0,0,0,29,52,0,17,0.0,1552,991,js=980;web=11,299,1.0,7,7,17,3.0,7,0,0,,1.0,0,1.0,0,0,
0,1,11,9,107,103,7.1,9.8,0,0.0,2,206,1543168177000,40440,0,0,0,0.0,0,0,28,116,0,10,0.0,1699,1348,css=163;js=1167;web=18,249,1.0,5,3,10,3.0,1,0,0,,1.0,0,1.0,0,0,
0,8,0,23,51,147,8.8,3.0,0,0.0,1,166,1530342302000,45840,0,0,0,0.0,0,0,59,119,0,31,0.0,2515,1528,css=124;js=1345;web=59,391,1.0,26,4,31,3.0,18,0,15,0.0,1.0,0,5.0,0,15,
1,76,8,23,136,113,0.9,5.3,0,0.0,3,197,1636482579000,390720,117,20,3587,27.1,0,0,39,92,0,99,0.0,13249,13024,css=555;js=918;web=11551,242,1.0,71,24,99,5.0,137,0,22,0.0,1.0,0,5.0,0,22,
0,5,0,35,95,12,0.4,4.5,0,0.0,0,240,1636025159000,87900,2,2,54,1.6,0,0,70,160,0,40,0.0,3313,2930,css=1385;js=1532;web=13,419,1.0,31,9,40,3.0,5,0,0,,1.0,0,1.0,0,0,
0,6,6,11,49,189,8.9,3.2,0,0.0,1,76,1595970735000,58170,5,3,108,4.2,0,0,35,43,0,17,0.0,2601,1939,css=488;js=424;web=1027,103,1.0,10,6,17,3.0,2,0,0,,1.0,0,1.0,0,0,
0,13,0,80,20,587,9.8,3.7,0,0.0,12,127,1659465184168,161280,12,8,480,7.6,0,0,37,106,0,93,0.0,6304,5376,css=3171;js=2177;web=28,217,1.0,69,12,93,3.0,13,0,0,,1.0,0,1.0,0,0,
0,5,0,4,0,12,7.8,0.3,0,0.0,0,5,1613742277000,4230,0,0,0,0.0,0,0,16,4,0,9,0.0,276,141,css=3;js=122;web=16,11,1.0,7,2,9,3.0,10,0,0,,1.0,0,1.0,0,0,
0,7,0,2,13,0,0.0,3.5,0,0.0,0,63,1593111500000,20970,0,0,0,0.0,0,0,28,52,0,9,0.0,989,699,css=305;js=381;web=13,76,1.0,6,3,9,3.0,10,0,0,,1.0,0,1.0,0,0,
0,8,0,3,2,3,1.0,2.3,0,0.0,1,35,1631535569000,8700,0,0,0,0.0,0,0,15,31,0,11,0.0,789,290,js=274;web=16,39,1.0,8,2,11,3.0,16,0,0,,1.0,0,1.0,0,0,
0,2,0,17,87,28,0.8,4.8,0,0.0,5,390,1593254075000,103500,9,5,767,15.6,0,0,83,330,0,19,0.0,4931,3450,css=71;js=3363;web=16,585,1.0,9,5,19,2.0,10,0,1,0.0,1.0,0,5.0,0,1,
0,0,0,5,30,129,18.7,2.5,0,0.0,0,35,1621247546000,16830,2,1,78,10.3,0,0,14,18,0,5,0.0,754,561,ts=537;web=24,173,1.0,1,4,5,1.0,0,0,3,0.0,1.0,0,5.0,0,3,
0,12,4,587,41465,4237,17.8,1300.4,0,0.0,20,6502,1618951804000,586860,0,0,0,0.0,15587,0,5,1628,8,599,0.0,25261,19562,js=19315;web=247,10114,2.0,478,93,599,3.0,72,0,4,0.0,1.0,0,5.0,0,4,
0,0,1,14,7,59,16.9,3.7,0,0.0,0,52,1531841520000,8700,0,0,0,0.0,0,0,15,41,0,14,0.0,407,290,css=26;js=247;web=17,42,1.0,5,9,14,1.0,0,0,0,,1.0,0,1.0,0,0,
0,14,0,25,38,10,0.5,3.8,0,0.0,4,215,1585646934000,64530,2,1,630,15.6,0,0,59,189,0,39,0.0,4036,2151,css=48;js=2087;web=16,314,1.0,21,14,39,3.0,62,0,2,0.0,1.0,0,5.0,0,2,
